年,月,地域区分,データ区分,都道府県コード,都道府県名,地域コード,地域名称,人数
2023,4,市区町村,観光来訪者数,1,北海道,1101,札幌市中央区,397183
2023,4,市区町村,観光来訪者数,1,北海道,1102,札幌市北区,21447
2023,4,市区町村,観光来訪者数,1,北海道,1103,札幌市東区,48489
2023,4,市区町村,観光来訪者数,1,北海道,1104,札幌市白石区,22765
2023,4,市区町村,観光来訪者数,1,北海道,1105,札幌市豊平区,86457
2023,4,市区町村,観光来訪者数,1,北海道,1106,札幌市南区,68067
2023,4,市区町村,観光来訪者数,1,北海道,1107,札幌市西区,40818
2023,4,市区町村,観光来訪者数,1,北海道,1108,札幌市厚別区,13485
2023,4,市区町村,観光来訪者数,1,北海道,1109,札幌市手稲区,9825
2023,4,市区町村,観光来訪者数,1,北海道,1110,札幌市清田区,3991
2023,4,市区町村,観光来訪者数,1,北海道,1202,函館市,173194
2023,4,市区町村,観光来訪者数,1,北海道,1203,小樽市,72073
2023,4,市区町村,観光来訪者数,1,北海道,1204,旭川市,109907
2023,4,市区町村,観光来訪者数,1,北海道,1205,室蘭市,18481
2023,4,市区町村,観光来訪者数,1,北海道,1206,釧路市,46289
2023,4,市区町村,観光来訪者数,1,北海道,1207,帯広市,32735
2023,4,市区町村,観光来訪者数,1,北海道,1208,北見市,15423
2023,4,市区町村,観光来訪者数,1,北海道,1209,夕張市,6577
2023,4,市区町村,観光来訪者数,1,北海道,1210,岩見沢市,11328
2023,4,市区町村,観光来訪者数,1,北海道,1211,網走市,39665
2023,4,市区町村,観光来訪者数,1,北海道,1212,留萌市,19577
2023,4,市区町村,観光来訪者数,1,北海道,1213,苫小牧市,67797
2023,4,市区町村,観光来訪者数,1,北海道,1214,稚内市,22516
2023,4,市区町村,観光来訪者数,1,北海道,1215,美唄市,5605
2023,4,市区町村,観光来訪者数,1,北海道,1216,芦別市,20712
2023,4,市区町村,観光来訪者数,1,北海道,1217,江別市,14754
2023,4,市区町村,観光来訪者数,1,北海道,1218,赤平市,3307
2023,4,市区町村,観光来訪者数,1,北海道,1219,紋別市,14399
2023,4,市区町村,観光来訪者数,1,北海道,1220,士別市,1731
2023,4,市区町村,観光来訪者数,1,北海道,1221,名寄市,21754
2023,4,市区町村,観光来訪者数,1,北海道,1222,三笠市,50145
2023,4,市区町村,観光来訪者数,1,北海道,1223,根室市,4174
2023,4,市区町村,観光来訪者数,1,北海道,1224,千歳市,55246
2023,4,市区町村,観光来訪者数,1,北海道,1225,滝川市,12827
2023,4,市区町村,観光来訪者数,1,北海道,1226,砂川市,900
2023,4,市区町村,観光来訪者数,1,北海道,1227,歌志内市,6525
2023,4,市区町村,観光来訪者数,1,北海道,1228,深川市,39546
2023,4,市区町村,観光来訪者数,1,北海道,1229,富良野市,18842
2023,4,市区町村,観光来訪者数,1,北海道,1230,登別市,13103
2023,4,市区町村,観光来訪者数,1,北海道,1231,恵庭市,23257
2023,4,市区町村,観光来訪者数,1,北海道,1233,伊達市,40613
2023,4,市区町村,観光来訪者数,1,北海道,1234,北広島市,470130
2023,4,市区町村,観光来訪者数,1,北海道,1235,石狩市,51618
2023,4,市区町村,観光来訪者数,1,北海道,1236,北斗市,5206
2023,4,市区町村,観光来訪者数,1,北海道,1303,当別町,30345
2023,4,市区町村,観光来訪者数,1,北海道,1304,新篠津村,18600
2023,4,市区町村,観光来訪者数,1,北海道,1331,松前町,45873
2023,4,市区町村,観光来訪者数,1,北海道,1332,福島町,4177
2023,4,市区町村,観光来訪者数,1,北海道,1333,知内町,8477
2023,4,市区町村,観光来訪者数,1,北海道,1334,木古内町,26385
2023,4,市区町村,観光来訪者数,1,北海道,1337,七飯町,53412
2023,4,市区町村,観光来訪者数,1,北海道,1343,鹿部町,2149
2023,4,市区町村,観光来訪者数,1,北海道,1345,森町,31020
2023,4,市区町村,観光来訪者数,1,北海道,1346,八雲町,3490
2023,4,市区町村,観光来訪者数,1,北海道,1361,江差町,4833
2023,4,市区町村,観光来訪者数,1,北海道,1362,上ノ国町,13126
2023,4,市区町村,観光来訪者数,1,北海道,1363,厚沢部町,9219
2023,4,市区町村,観光来訪者数,1,北海道,1364,乙部町,4467
2023,4,市区町村,観光来訪者数,1,北海道,1367,奥尻町,119
2023,4,市区町村,観光来訪者数,1,北海道,1371,せたな町,2750
2023,4,市区町村,観光来訪者数,1,北海道,1391,島牧村,2974
2023,4,市区町村,観光来訪者数,1,北海道,1392,寿都町,6656
2023,4,市区町村,観光来訪者数,1,北海道,1393,黒松内町,20923
2023,4,市区町村,観光来訪者数,1,北海道,1394,蘭越町,10213
2023,4,市区町村,観光来訪者数,1,北海道,1395,ニセコ町,44669
2023,4,市区町村,観光来訪者数,1,北海道,1396,真狩村,7784
2023,4,市区町村,観光来訪者数,1,北海道,1397,留寿都村,42185
2023,4,市区町村,観光来訪者数,1,北海道,1398,喜茂別町,41724
2023,4,市区町村,観光来訪者数,1,北海道,1399,京極町,18580
2023,4,市区町村,観光来訪者数,1,北海道,1400,倶知安町,16259
2023,4,市区町村,観光来訪者数,1,北海道,1402,岩内町,3563
2023,4,市区町村,観光来訪者数,1,北海道,1403,泊村,572
2023,4,市区町村,観光来訪者数,1,北海道,1404,神恵内村,4061
2023,4,市区町村,観光来訪者数,1,北海道,1405,積丹町,324
2023,4,市区町村,観光来訪者数,1,北海道,1407,仁木町,31763
2023,4,市区町村,観光来訪者数,1,北海道,1408,余市町,33153
2023,4,市区町村,観光来訪者数,1,北海道,1409,赤井川村,26932
2023,4,市区町村,観光来訪者数,1,北海道,1423,南幌町,4157
2023,4,市区町村,観光来訪者数,1,北海道,1424,奈井江町,11685
2023,4,市区町村,観光来訪者数,1,北海道,1427,由仁町,2290
2023,4,市区町村,観光来訪者数,1,北海道,1428,長沼町,54220
2023,4,市区町村,観光来訪者数,1,北海道,1429,栗山町,10734
2023,4,市区町村,観光来訪者数,1,北海道,1430,月形町,644
2023,4,市区町村,観光来訪者数,1,北海道,1431,浦臼町,3208
2023,4,市区町村,観光来訪者数,1,北海道,1432,新十津川町,3472
2023,4,市区町村,観光来訪者数,1,北海道,1433,妹背牛町,7136
2023,4,市区町村,観光来訪者数,1,北海道,1434,秩父別町,8906
