年,月,地域区分,データ区分,都道府県コード,都道府県名,地域コード,地域名称,人数
2024,7,市区町村,観光来訪者数,1,北海道,1101,札幌市中央区,544665
2024,7,市区町村,観光来訪者数,1,北海道,1102,札幌市北区,32938
2024,7,市区町村,観光来訪者数,1,北海道,1103,札幌市東区,79173
2024,7,市区町村,観光来訪者数,1,北海道,1104,札幌市白石区,23557
2024,7,市区町村,観光来訪者数,1,北海道,1105,札幌市豊平区,51391
2024,7,市区町村,観光来訪者数,1,北海道,1106,札幌市南区,80735
2024,7,市区町村,観光来訪者数,1,北海道,1107,札幌市西区,66775
2024,7,市区町村,観光来訪者数,1,北海道,1108,札幌市厚別区,24624
2024,7,市区町村,観光来訪者数,1,北海道,1109,札幌市手稲区,13564
2024,7,市区町村,観光来訪者数,1,北海道,1110,札幌市清田区,2912
2024,7,市区町村,観光来訪者数,1,北海道,1202,函館市,178412
2024,7,市区町村,観光来訪者数,1,北海道,1203,小樽市,139280
2024,7,市区町村,観光来訪者数,1,北海道,1204,旭川市,307525
2024,7,市区町村,観光来訪者数,1,北海道,1205,室蘭市,30389
2024,7,市区町村,観光来訪者数,1,北海道,1206,釧路市,114578
2024,7,市区町村,観光来訪者数,1,北海道,1207,帯広市,86084
2024,7,市区町村,観光来訪者数,1,北海道,1208,北見市,32678
2024,7,市区町村,観光来訪者数,1,北海道,1209,夕張市,34495
2024,7,市区町村,観光来訪者数,1,北海道,1210,岩見沢市,89389
2024,7,市区町村,観光来訪者数,1,北海道,1211,網走市,99299
2024,7,市区町村,観光来訪者数,1,北海道,1212,留萌市,45128
2024,7,市区町村,観光来訪者数,1,北海道,1213,苫小牧市,122877
2024,7,市区町村,観光来訪者数,1,北海道,1214,稚内市,63735
2024,7,市区町村,観光来訪者数,1,北海道,1215,美唄市,8883
2024,7,市区町村,観光来訪者数,1,北海道,1216,芦別市,61820
2024,7,市区町村,観光来訪者数,1,北海道,1217,江別市,25739
2024,7,市区町村,観光来訪者数,1,北海道,1218,赤平市,1837
2024,7,市区町村,観光来訪者数,1,北海道,1219,紋別市,37286
2024,7,市区町村,観光来訪者数,1,北海道,1220,士別市,4361
2024,7,市区町村,観光来訪者数,1,北海道,1221,名寄市,40769
2024,7,市区町村,観光来訪者数,1,北海道,1222,三笠市,76917
2024,7,市区町村,観光来訪者数,1,北海道,1223,根室市,20808
2024,7,市区町村,観光来訪者数,1,北海道,1224,千歳市,135797
2024,7,市区町村,観光来訪者数,1,北海道,1225,滝川市,18802
2024,7,市区町村,観光来訪者数,1,北海道,1226,砂川市,3246
2024,7,市区町村,観光来訪者数,1,北海道,1227,歌志内市,8439
2024,7,市区町村,観光来訪者数,1,北海道,1228,深川市,62617
2024,7,市区町村,観光来訪者数,1,北海道,1229,富良野市,61415
2024,7,市区町村,観光来訪者数,1,北海道,1230,登別市,25907
2024,7,市区町村,観光来訪者数,1,北海道,1231,恵庭市,35399
2024,7,市区町村,観光来訪者数,1,北海道,1233,伊達市,55206
2024,7,市区町村,観光来訪者数,1,北海道,1234,北広島市,649947
2024,7,市区町村,観光来訪者数,1,北海道,1235,石狩市,84925
2024,7,市区町村,観光来訪者数,1,北海道,1236,北斗市,6820
2024,7,市区町村,観光来訪者数,1,北海道,1303,当別町,53816
2024,7,市区町村,観光来訪者数,1,北海道,1304,新篠津村,37104
2024,7,市区町村,観光来訪者数,1,北海道,1331,松前町,16162
2024,7,市区町村,観光来訪者数,1,北海道,1332,福島町,3998
2024,7,市区町村,観光来訪者数,1,北海道,1333,知内町,4395
2024,7,市区町村,観光来訪者数,1,北海道,1334,木古内町,19378
2024,7,市区町村,観光来訪者数,1,北海道,1337,七飯町,52575
2024,7,市区町村,観光来訪者数,1,北海道,1343,鹿部町,4741
2024,7,市区町村,観光来訪者数,1,北海道,1345,森町,22420
2024,7,市区町村,観光来訪者数,1,北海道,1346,八雲町,4670
2024,7,市区町村,観光来訪者数,1,北海道,1361,江差町,7975
2024,7,市区町村,観光来訪者数,1,北海道,1362,上ノ国町,16622
2024,7,市区町村,観光来訪者数,1,北海道,1363,厚沢部町,10355
2024,7,市区町村,観光来訪者数,1,北海道,1364,乙部町,6619
2024,7,市区町村,観光来訪者数,1,北海道,1367,奥尻町,1514
2024,7,市区町村,観光来訪者数,1,北海道,1371,せたな町,4726
2024,7,市区町村,観光来訪者数,1,北海道,1391,島牧村,4808
