年,月,地域区分,データ区分,地域コード,地域名称,人数
2025,2,都道府県,観光来訪者数,1,北海道,2882107
2025,2,都道府県,観光来訪者数,2,青森県,585974
2025,2,都道府県,観光来訪者数,3,岩手県,1075482
2025,2,都道府県,観光来訪者数,4,宮城県,1321375
2025,2,都道府県,観光来訪者数,5,秋田県,548311
2025,2,都道府県,観光来訪者数,6,山形県,918660
2025,2,都道府県,観光来訪者数,7,福島県,1516671
2025,2,都道府県,観光来訪者数,8,茨城県,2140618
2025,2,都道府県,観光来訪者数,9,栃木県,2067903
2025,2,都道府県,観光来訪者数,10,群馬県,1977728
2025,2,都道府県,観光来訪者数,11,埼玉県,3052923
2025,2,都道府県,観光来訪者数,12,千葉県,3893686
2025,2,都道府県,観光来訪者数,13,東京都,19198660
2025,2,都道府県,観光来訪者数,14,神奈川県,5114637
2025,2,都道府県,観光来訪者数,15,新潟県,1554463
2025,2,都道府県,観光来訪者数,16,富山県,721873
2025,2,都道府県,観光来訪者数,17,石川県,681805
2025,2,都道府県,観光来訪者数,18,福井県,381937
2025,2,都道府県,観光来訪者数,19,山梨県,804168
2025,2,都道府県,観光来訪者数,20,長野県,2920263
2025,2,都道府県,観光来訪者数,21,岐阜県,1806520
2025,2,都道府県,観光来訪者数,22,静岡県,6680018
2025,2,都道府県,観光来訪者数,23,愛知県,7050698
2025,2,都道府県,観光来訪者数,24,三重県,1728775
2025,2,都道府県,観光来訪者数,25,滋賀県,745699
2025,2,都道府県,観光来訪者数,26,京都府,2002092
2025,2,都道府県,観光来訪者数,27,大阪府,4838786
2025,2,都道府県,観光来訪者数,28,兵庫県,3564509
2025,2,都道府県,観光来訪者数,29,奈良県,807608
2025,2,都道府県,観光来訪者数,30,和歌山県,1170581
2025,2,都道府県,観光来訪者数,31,鳥取県,416018
2025,2,都道府県,観光来訪者数,32,島根県,422339
2025,2,都道府県,観光来訪者数,33,岡山県,1400347
2025,2,都道府県,観光来訪者数,34,広島県,1340438
2025,2,都道府県,観光来訪者数,35,山口県,796899
2025,2,都道府県,観光来訪者数,36,徳島県,508976
2025,2,都道府県,観光来訪者数,37,香川県,706976
2025,2,都道府県,観光来訪者数,38,愛媛県,727419
2025,2,都道府県,観光来訪者数,39,高知県,508924
2025,2,都道府県,観光来訪者数,40,福岡県,3717375
2025,2,都道府県,観光来訪者数,41,佐賀県,2101708
2025,2,都道府県,観光来訪者数,42,長崎県,1197802
2025,2,都道府県,観光来訪者数,43,熊本県,1145121
2025,2,都道府県,観光来訪者数,44,大分県,966234
2025,2,都道府県,観光来訪者数,45,宮崎県,1048421
2025,2,都道府県,観光来訪者数,46,鹿児島県,1236159
2025,2,都道府県,観光来訪者数,47,沖縄県,1436188
