年,月,地域区分,データ区分,地域コード,地域名称,人数
2023,3,都道府県,観光来訪者数,1,北海道,2956594
2023,3,都道府県,観光来訪者数,2,青森県,664578
2023,3,都道府県,観光来訪者数,3,岩手県,752802
2023,3,都道府県,観光来訪者数,4,宮城県,1511769
2023,3,都道府県,観光来訪者数,5,秋田県,577392
2023,3,都道府県,観光来訪者数,6,山形県,714423
2023,3,都道府県,観光来訪者数,7,福島県,1522530
2023,3,都道府県,観光来訪者数,8,茨城県,1947774
2023,3,都道府県,観光来訪者数,9,栃木県,2460012
2023,3,都道府県,観光来訪者数,10,群馬県,1575652
2023,3,都道府県,観光来訪者数,11,埼玉県,2477089
2023,3,都道府県,観光来訪者数,12,千葉県,4271329
2023,3,都道府県,観光来訪者数,13,東京都,12205793
2023,3,都道府県,観光来訪者数,14,神奈川県,3835002
2023,3,都道府県,観光来訪者数,15,新潟県,1892283
2023,3,都道府県,観光来訪者数,16,富山県,567398
2023,3,都道府県,観光来訪者数,17,石川県,895893
2023,3,都道府県,観光来訪者数,18,福井県,543436
2023,3,都道府県,観光来訪者数,19,山梨県,1130561
2023,3,都道府県,観光来訪者数,20,長野県,2473378
2023,3,都道府県,観光来訪者数,21,岐阜県,1906060
2023,3,都道府県,観光来訪者数,22,静岡県,4328583
2023,3,都道府県,観光来訪者数,23,愛知県,3751853
2023,3,都道府県,観光来訪者数,24,三重県,1993168
2023,3,都道府県,観光来訪者数,25,滋賀県,1223900
2023,3,都道府県,観光来訪者数,26,京都府,3255819
2023,3,都道府県,観光来訪者数,27,大阪府,4838110
2023,3,都道府県,観光来訪者数,28,兵庫県,4714407
2023,3,都道府県,観光来訪者数,29,奈良県,1178324
2023,3,都道府県,観光来訪者数,30,和歌山県,827047
2023,3,都道府県,観光来訪者数,31,鳥取県,471767
2023,3,都道府県,観光来訪者数,32,島根県,760287
2023,3,都道府県,観光来訪者数,33,岡山県,1497422
2023,3,都道府県,観光来訪者数,34,広島県,1942930
2023,3,都道府県,観光来訪者数,35,山口県,1004251
2023,3,都道府県,観光来訪者数,36,徳島県,637795
2023,3,都道府県,観光来訪者数,37,香川県,619786
2023,3,都道府県,観光来訪者数,38,愛媛県,866491
2023,3,都道府県,観光来訪者数,39,高知県,561023
2023,3,都道府県,観光来訪者数,40,福岡県,2898617
2023,3,都道府県,観光来訪者数,41,佐賀県,768406
2023,3,都道府県,観光来訪者数,42,長崎県,917765
2023,3,都道府県,観光来訪者数,43,熊本県,1622470
2023,3,都道府県,観光来訪者数,44,大分県,1242650
2023,3,都道府県,観光来訪者数,45,宮崎県,804008
2023,3,都道府県,観光来訪者数,46,鹿児島県,997452
2023,3,都道府県,観光来訪者数,47,沖縄県,1243877
