年,月,地域区分,データ区分,都道府県コード,都道府県名,地域コード,地域名称,人数
2025,8,市区町村,観光来訪者数,1,北海道,1101,札幌市中央区,709751
2025,8,市区町村,観光来訪者数,1,北海道,1102,札幌市北区,55574
2025,8,市区町村,観光来訪者数,1,北海道,1103,札幌市東区,105192
2025,8,市区町村,観光来訪者数,1,北海道,1104,札幌市白石区,18459
2025,8,市区町村,観光来訪者数,1,北海道,1105,札幌市豊平区,101797
2025,8,市区町村,観光来訪者数,1,北海道,1106,札幌市南区,89969
2025,8,市区町村,観光来訪者数,1,北海道,1107,札幌市西区,94170
2025,8,市区町村,観光来訪者数,1,北海道,1108,札幌市厚別区,44588
2025,8,市区町村,観光来訪者数,1,北海道,1109,札幌市手稲区,24735
2025,8,市区町村,観光来訪者数,1,北海道,1110,札幌市清田区,4642
2025,8,市区町村,観光来訪者数,1,北海道,1202,函館市,296157
2025,8,市区町村,観光来訪者数,1,北海道,1203,小樽市,186217
2025,8,市区町村,観光来訪者数,1,北海道,1204,旭川市,389310
2025,8,市区町村,観光来訪者数,1,北海道,1205,室蘭市,41812
2025,8,市区町村,観光来訪者数,1,北海道,1206,釧路市,138068
2025,8,市区町村,観光来訪者数,1,北海道,1207,帯広市,112844
2025,8,市区町村,観光来訪者数,1,北海道,1208,北見市,102792
2025,8,市区町村,観光来訪者数,1,北海道,1209,夕張市,44698
2025,8,市区町村,観光来訪者数,1,北海道,1210,岩見沢市,55765
2025,8,市区町村,観光来訪者数,1,北海道,1211,網走市,130290
2025,8,市区町村,観光来訪者数,1,北海道,1212,留萌市,68489
2025,8,市区町村,観光来訪者数,1,北海道,1213,苫小牧市,189381
2025,8,市区町村,観光来訪者数,1,北海道,1214,稚内市,71531
2025,8,市区町村,観光来訪者数,1,北海道,1215,美唄市,7627
2025,8,市区町村,観光来訪者数,1,北海道,1216,芦別市,59132
2025,8,市区町村,観光来訪者数,1,北海道,1217,江別市,30398
2025,8,市区町村,観光来訪者数,1,北海道,1218,赤平市,1663
2025,8,市区町村,観光来訪者数,1,北海道,1219,紋別市,51888
2025,8,市区町村,観光来訪者数,1,北海道,1220,士別市,8552
2025,8,市区町村,観光来訪者数,1,北海道,1221,名寄市,64742
2025,8,市区町村,観光来訪者数,1,北海道,1222,三笠市,98359
2025,8,市区町村,観光来訪者数,1,北海道,1223,根室市,57177
2025,8,市区町村,観光来訪者数,1,北海道,1224,千歳市,156724
2025,8,市区町村,観光来訪者数,1,北海道,1225,滝川市,27343
2025,8,市区町村,観光来訪者数,1,北海道,1226,砂川市,8015
2025,8,市区町村,観光来訪者数,1,北海道,1227,歌志内市,13773
2025,8,市区町村,観光来訪者数,1,北海道,1228,深川市,87124
2025,8,市区町村,観光来訪者数,1,北海道,1229,富良野市,53917
2025,8,市区町村,観光来訪者数,1,北海道,1230,登別市,39003
2025,8,市区町村,観光来訪者数,1,北海道,1231,恵庭市,44112
2025,8,市区町村,観光来訪者数,1,北海道,1233,伊達市,69958
2025,8,市区町村,観光来訪者数,1,北海道,1234,北広島市,699851
2025,8,市区町村,観光来訪者数,1,北海道,1235,石狩市,130384
2025,8,市区町村,観光来訪者数,1,北海道,1236,北斗市,14414
2025,8,市区町村,観光来訪者数,1,北海道,1303,当別町,83703
2025,8,市区町村,観光来訪者数,1,北海道,1304,新篠津村,46826
2025,8,市区町村,観光来訪者数,1,北海道,1331,松前町,23251
2025,8,市区町村,観光来訪者数,1,北海道,1332,福島町,4148
2025,8,市区町村,観光来訪者数,1,北海道,1333,知内町,8483
2025,8,市区町村,観光来訪者数,1,北海道,1334,木古内町,28112
2025,8,市区町村,観光来訪者数,1,北海道,1337,七飯町,70887
2025,8,市区町村,観光来訪者数,1,北海道,1343,鹿部町,8355
2025,8,市区町村,観光来訪者数,1,北海道,1345,森町,38444
2025,8,市区町村,観光来訪者数,1,北海道,1346,八雲町,7398
