年,月,地域区分,データ区分,地域コード,地域名称,人数
2023,10,都道府県,観光来訪者数,1,北海道,4208253
2023,10,都道府県,観光来訪者数,2,青森県,1046323
2023,10,都道府県,観光来訪者数,3,岩手県,1037787
2023,10,都道府県,観光来訪者数,4,宮城県,1854050
2023,10,都道府県,観光来訪者数,5,秋田県,911424
2023,10,都道府県,観光来訪者数,6,山形県,1040326
2023,10,都道府県,観光来訪者数,7,福島県,1973176
2023,10,都道府県,観光来訪者数,8,茨城県,2197167
2023,10,都道府県,観光来訪者数,9,栃木県,2960043
2023,10,都道府県,観光来訪者数,10,群馬県,1872325
2023,10,都道府県,観光来訪者数,11,埼玉県,2460692
2023,10,都道府県,観光来訪者数,12,千葉県,4540319
2023,10,都道府県,観光来訪者数,13,東京都,11864460
2023,10,都道府県,観光来訪者数,14,神奈川県,4106448
2023,10,都道府県,観光来訪者数,15,新潟県,1944841
2023,10,都道府県,観光来訪者数,16,富山県,681253
2023,10,都道府県,観光来訪者数,17,石川県,1109525
2023,10,都道府県,観光来訪者数,18,福井県,754361
2023,10,都道府県,観光来訪者数,19,山梨県,1532734
2023,10,都道府県,観光来訪者数,20,長野県,3045953
2023,10,都道府県,観光来訪者数,21,岐阜県,2092842
2023,10,都道府県,観光来訪者数,22,静岡県,4019509
2023,10,都道府県,観光来訪者数,23,愛知県,3659910
2023,10,都道府県,観光来訪者数,24,三重県,1597297
2023,10,都道府県,観光来訪者数,25,滋賀県,1401448
2023,10,都道府県,観光来訪者数,26,京都府,2778054
2023,10,都道府県,観光来訪者数,27,大阪府,4841459
2023,10,都道府県,観光来訪者数,28,兵庫県,4259962
2023,10,都道府県,観光来訪者数,29,奈良県,1316557
2023,10,都道府県,観光来訪者数,30,和歌山県,797475
2023,10,都道府県,観光来訪者数,31,鳥取県,518713
2023,10,都道府県,観光来訪者数,32,島根県,850043
2023,10,都道府県,観光来訪者数,33,岡山県,1515214
2023,10,都道府県,観光来訪者数,34,広島県,2129321
2023,10,都道府県,観光来訪者数,35,山口県,1035598
2023,10,都道府県,観光来訪者数,36,徳島県,638773
2023,10,都道府県,観光来訪者数,37,香川県,638408
2023,10,都道府県,観光来訪者数,38,愛媛県,954881
2023,10,都道府県,観光来訪者数,39,高知県,635130
2023,10,都道府県,観光来訪者数,40,福岡県,2858808
2023,10,都道府県,観光来訪者数,41,佐賀県,802034
2023,10,都道府県,観光来訪者数,42,長崎県,848309
2023,10,都道府県,観光来訪者数,43,熊本県,1629756
2023,10,都道府県,観光来訪者数,44,大分県,1308427
2023,10,都道府県,観光来訪者数,45,宮崎県,903424
2023,10,都道府県,観光来訪者数,46,鹿児島県,1071871
2023,10,都道府県,観光来訪者数,47,沖縄県,1070002
