年,月,地域区分,データ区分,地域コード,地域名称,人数
2024,4,都道府県,観光来訪者数,1,北海道,3511080
2024,4,都道府県,観光来訪者数,2,青森県,1240772
2024,4,都道府県,観光来訪者数,3,岩手県,1392456
2024,4,都道府県,観光来訪者数,4,宮城県,1971761
2024,4,都道府県,観光来訪者数,5,秋田県,916388
2024,4,都道府県,観光来訪者数,6,山形県,1310834
2024,4,都道府県,観光来訪者数,7,福島県,2087238
2024,4,都道府県,観光来訪者数,8,茨城県,2669285
2024,4,都道府県,観光来訪者数,9,栃木県,2902840
2024,4,都道府県,観光来訪者数,10,群馬県,2200561
2024,4,都道府県,観光来訪者数,11,埼玉県,3696888
2024,4,都道府県,観光来訪者数,12,千葉県,4207372
2024,4,都道府県,観光来訪者数,13,東京都,20407887
2024,4,都道府県,観光来訪者数,14,神奈川県,5839396
2024,4,都道府県,観光来訪者数,15,新潟県,2109329
2024,4,都道府県,観光来訪者数,16,富山県,1312659
2024,4,都道府県,観光来訪者数,17,石川県,1210694
2024,4,都道府県,観光来訪者数,18,福井県,781775
2024,4,都道府県,観光来訪者数,19,山梨県,1413070
2024,4,都道府県,観光来訪者数,20,長野県,2879094
2024,4,都道府県,観光来訪者数,21,岐阜県,2426831
2024,4,都道府県,観光来訪者数,22,静岡県,7317924
2024,4,都道府県,観光来訪者数,23,愛知県,7914156
2024,4,都道府県,観光来訪者数,24,三重県,2345379
2024,4,都道府県,観光来訪者数,25,滋賀県,1382468
2024,4,都道府県,観光来訪者数,26,京都府,2931298
2024,4,都道府県,観光来訪者数,27,大阪府,5411622
2024,4,都道府県,観光来訪者数,28,兵庫県,4717740
2024,4,都道府県,観光来訪者数,29,奈良県,1575695
2024,4,都道府県,観光来訪者数,30,和歌山県,1343706
2024,4,都道府県,観光来訪者数,31,鳥取県,720300
2024,4,都道府県,観光来訪者数,32,島根県,782695
2024,4,都道府県,観光来訪者数,33,岡山県,1822299
2024,4,都道府県,観光来訪者数,34,広島県,2117671
2024,4,都道府県,観光来訪者数,35,山口県,1081729
2024,4,都道府県,観光来訪者数,36,徳島県,673556
2024,4,都道府県,観光来訪者数,37,香川県,906199
2024,4,都道府県,観光来訪者数,38,愛媛県,913905
2024,4,都道府県,観光来訪者数,39,高知県,665906
2024,4,都道府県,観光来訪者数,40,福岡県,3804865
2024,4,都道府県,観光来訪者数,41,佐賀県,2264638
2024,4,都道府県,観光来訪者数,42,長崎県,1318541
2024,4,都道府県,観光来訪者数,43,熊本県,1403154
2024,4,都道府県,観光来訪者数,44,大分県,1144406
2024,4,都道府県,観光来訪者数,45,宮崎県,775435
2024,4,都道府県,観光来訪者数,46,鹿児島県,1355194
2024,4,都道府県,観光来訪者数,47,沖縄県,995556
