年,月,地域区分,データ区分,地域コード,地域名称,人数
2024,10,都道府県,観光来訪者数,1,北海道,4544199
2024,10,都道府県,観光来訪者数,2,青森県,1089395
2024,10,都道府県,観光来訪者数,3,岩手県,1729255
2024,10,都道府県,観光来訪者数,4,宮城県,1965020
2024,10,都道府県,観光来訪者数,5,秋田県,1053984
2024,10,都道府県,観光来訪者数,6,山形県,1664375
2024,10,都道府県,観光来訪者数,7,福島県,2334727
2024,10,都道府県,観光来訪者数,8,茨城県,2581202
2024,10,都道府県,観光来訪者数,9,栃木県,2936985
2024,10,都道府県,観光来訪者数,10,群馬県,2639559
2024,10,都道府県,観光来訪者数,11,埼玉県,3428782
2024,10,都道府県,観光来訪者数,12,千葉県,4473435
2024,10,都道府県,観光来訪者数,13,東京都,19990560
2024,10,都道府県,観光来訪者数,14,神奈川県,5628552
2024,10,都道府県,観光来訪者数,15,新潟県,2113846
2024,10,都道府県,観光来訪者数,16,富山県,1265759
2024,10,都道府県,観光来訪者数,17,石川県,1214374
2024,10,都道府県,観光来訪者数,18,福井県,846763
2024,10,都道府県,観光来訪者数,19,山梨県,1369324
2024,10,都道府県,観光来訪者数,20,長野県,3763916
2024,10,都道府県,観光来訪者数,21,岐阜県,2604228
2024,10,都道府県,観光来訪者数,22,静岡県,7027098
2024,10,都道府県,観光来訪者数,23,愛知県,8041212
2024,10,都道府県,観光来訪者数,24,三重県,2067241
2024,10,都道府県,観光来訪者数,25,滋賀県,1329425
2024,10,都道府県,観光来訪者数,26,京都府,2703354
2024,10,都道府県,観光来訪者数,27,大阪府,5490324
2024,10,都道府県,観光来訪者数,28,兵庫県,4584655
2024,10,都道府県,観光来訪者数,29,奈良県,1344413
2024,10,都道府県,観光来訪者数,30,和歌山県,1390076
2024,10,都道府県,観光来訪者数,31,鳥取県,857200
2024,10,都道府県,観光来訪者数,32,島根県,862952
2024,10,都道府県,観光来訪者数,33,岡山県,1768275
2024,10,都道府県,観光来訪者数,34,広島県,1904403
2024,10,都道府県,観光来訪者数,35,山口県,1073367
2024,10,都道府県,観光来訪者数,36,徳島県,698690
2024,10,都道府県,観光来訪者数,37,香川県,881258
2024,10,都道府県,観光来訪者数,38,愛媛県,915191
2024,10,都道府県,観光来訪者数,39,高知県,711544
2024,10,都道府県,観光来訪者数,40,福岡県,3959664
2024,10,都道府県,観光来訪者数,41,佐賀県,2459057
2024,10,都道府県,観光来訪者数,42,長崎県,1391888
2024,10,都道府県,観光来訪者数,43,熊本県,1477413
2024,10,都道府県,観光来訪者数,44,大分県,1276767
2024,10,都道府県,観光来訪者数,45,宮崎県,886747
2024,10,都道府県,観光来訪者数,46,鹿児島県,1375817
2024,10,都道府県,観光来訪者数,47,沖縄県,1058629
