年,月,地域区分,データ区分,地域コード,地域名称,人数
2025,4,都道府県,観光来訪者数,1,北海道,3704204
2025,4,都道府県,観光来訪者数,2,青森県,1383826
2025,4,都道府県,観光来訪者数,3,岩手県,1507653
2025,4,都道府県,観光来訪者数,4,宮城県,2198291
2025,4,都道府県,観光来訪者数,5,秋田県,887586
2025,4,都道府県,観光来訪者数,6,山形県,1319317
2025,4,都道府県,観光来訪者数,7,福島県,2225389
2025,4,都道府県,観光来訪者数,8,茨城県,2784345
2025,4,都道府県,観光来訪者数,9,栃木県,3364409
2025,4,都道府県,観光来訪者数,10,群馬県,2330883
2025,4,都道府県,観光来訪者数,11,埼玉県,4062975
2025,4,都道府県,観光来訪者数,12,千葉県,4443453
2025,4,都道府県,観光来訪者数,13,東京都,22141619
2025,4,都道府県,観光来訪者数,14,神奈川県,6312636
2025,4,都道府県,観光来訪者数,15,新潟県,2029099
2025,4,都道府県,観光来訪者数,16,富山県,1292647
2025,4,都道府県,観光来訪者数,17,石川県,1110384
2025,4,都道府県,観光来訪者数,18,福井県,689186
2025,4,都道府県,観光来訪者数,19,山梨県,1509545
2025,4,都道府県,観光来訪者数,20,長野県,3021741
2025,4,都道府県,観光来訪者数,21,岐阜県,2511214
2025,4,都道府県,観光来訪者数,22,静岡県,7623225
2025,4,都道府県,観光来訪者数,23,愛知県,9422305
2025,4,都道府県,観光来訪者数,24,三重県,4549409
2025,4,都道府県,観光来訪者数,25,滋賀県,1938813
2025,4,都道府県,観光来訪者数,26,京都府,2946486
2025,4,都道府県,観光来訪者数,27,大阪府,6155970
2025,4,都道府県,観光来訪者数,28,兵庫県,5170742
2025,4,都道府県,観光来訪者数,29,奈良県,1747188
2025,4,都道府県,観光来訪者数,30,和歌山県,1941695
2025,4,都道府県,観光来訪者数,31,鳥取県,999826
2025,4,都道府県,観光来訪者数,32,島根県,832848
2025,4,都道府県,観光来訪者数,33,岡山県,2074740
2025,4,都道府県,観光来訪者数,34,広島県,3134113
2025,4,都道府県,観光来訪者数,35,山口県,1299146
2025,4,都道府県,観光来訪者数,36,徳島県,715796
2025,4,都道府県,観光来訪者数,37,香川県,1071753
2025,4,都道府県,観光来訪者数,38,愛媛県,1292627
2025,4,都道府県,観光来訪者数,39,高知県,740891
2025,4,都道府県,観光来訪者数,40,福岡県,5779205
2025,4,都道府県,観光来訪者数,41,佐賀県,2526698
2025,4,都道府県,観光来訪者数,42,長崎県,1508317
2025,4,都道府県,観光来訪者数,43,熊本県,1637253
2025,4,都道府県,観光来訪者数,44,大分県,1306436
2025,4,都道府県,観光来訪者数,45,宮崎県,971033
2025,4,都道府県,観光来訪者数,46,鹿児島県,1687319
2025,4,都道府県,観光来訪者数,47,沖縄県,2731220
