年,月,地域区分,データ区分,地域コード,地域名称,人数
2025,5,都道府県,観光来訪者数,1,北海道,5819723
2025,5,都道府県,観光来訪者数,2,青森県,1509391
2025,5,都道府県,観光来訪者数,3,岩手県,1853598
2025,5,都道府県,観光来訪者数,4,宮城県,2337425
2025,5,都道府県,観光来訪者数,5,秋田県,1099138
2025,5,都道府県,観光来訪者数,6,山形県,1780792
2025,5,都道府県,観光来訪者数,7,福島県,2477461
2025,5,都道府県,観光来訪者数,8,茨城県,2939908
2025,5,都道府県,観光来訪者数,9,栃木県,3683019
2025,5,都道府県,観光来訪者数,10,群馬県,2717093
2025,5,都道府県,観光来訪者数,11,埼玉県,4402787
2025,5,都道府県,観光来訪者数,12,千葉県,4661208
2025,5,都道府県,観光来訪者数,13,東京都,23370840
2025,5,都道府県,観光来訪者数,14,神奈川県,6662590
2025,5,都道府県,観光来訪者数,15,新潟県,2542215
2025,5,都道府県,観光来訪者数,16,富山県,1548562
2025,5,都道府県,観光来訪者数,17,石川県,1397886
2025,5,都道府県,観光来訪者数,18,福井県,890591
2025,5,都道府県,観光来訪者数,19,山梨県,1744716
2025,5,都道府県,観光来訪者数,20,長野県,3690901
2025,5,都道府県,観光来訪者数,21,岐阜県,2875462
2025,5,都道府県,観光来訪者数,22,静岡県,8581152
2025,5,都道府県,観光来訪者数,23,愛知県,9876181
2025,5,都道府県,観光来訪者数,24,三重県,4519042
2025,5,都道府県,観光来訪者数,25,滋賀県,2054498
2025,5,都道府県,観光来訪者数,26,京都府,2984409
2025,5,都道府県,観光来訪者数,27,大阪府,6830652
2025,5,都道府県,観光来訪者数,28,兵庫県,5512941
2025,5,都道府県,観光来訪者数,29,奈良県,1666528
2025,5,都道府県,観光来訪者数,30,和歌山県,2377768
2025,5,都道府県,観光来訪者数,31,鳥取県,1220022
2025,5,都道府県,観光来訪者数,32,島根県,1012676
2025,5,都道府県,観光来訪者数,33,岡山県,2274364
2025,5,都道府県,観光来訪者数,34,広島県,3626069
2025,5,都道府県,観光来訪者数,35,山口県,1498069
2025,5,都道府県,観光来訪者数,36,徳島県,875058
2025,5,都道府県,観光来訪者数,37,香川県,1216013
2025,5,都道府県,観光来訪者数,38,愛媛県,1484496
2025,5,都道府県,観光来訪者数,39,高知県,910073
2025,5,都道府県,観光来訪者数,40,福岡県,6137021
2025,5,都道府県,観光来訪者数,41,佐賀県,2734634
2025,5,都道府県,観光来訪者数,42,長崎県,1810729
2025,5,都道府県,観光来訪者数,43,熊本県,1864518
2025,5,都道府県,観光来訪者数,44,大分県,1502036
2025,5,都道府県,観光来訪者数,45,宮崎県,1112986
2025,5,都道府県,観光来訪者数,46,鹿児島県,1935257
2025,5,都道府県,観光来訪者数,47,沖縄県,2643796
