年,月,地域区分,データ区分,地域コード,地域名称,人数
2026,3,都道府県,観光来訪者数,1,北海道,3524362
2026,3,都道府県,観光来訪者数,2,青森県,858351
2026,3,都道府県,観光来訪者数,3,岩手県,2167005
2026,3,都道府県,観光来訪者数,4,宮城県,1863284
2026,3,都道府県,観光来訪者数,5,秋田県,715900
2026,3,都道府県,観光来訪者数,6,山形県,1229295
2026,3,都道府県,観光来訪者数,7,福島県,2078195
2026,3,都道府県,観光来訪者数,8,茨城県,2779315
2026,3,都道府県,観光来訪者数,9,栃木県,3251135
2026,3,都道府県,観光来訪者数,10,群馬県,2316512
2026,3,都道府県,観光来訪者数,11,埼玉県,3898641
2026,3,都道府県,観光来訪者数,12,千葉県,4585614
2026,3,都道府県,観光来訪者数,13,東京都,24322794
2026,3,都道府県,観光来訪者数,14,神奈川県,6721535
2026,3,都道府県,観光来訪者数,15,新潟県,2034193
2026,3,都道府県,観光来訪者数,16,富山県,1196277
2026,3,都道府県,観光来訪者数,17,石川県,1512774
2026,3,都道府県,観光来訪者数,18,福井県,1154628
2026,3,都道府県,観光来訪者数,19,山梨県,1347307
2026,3,都道府県,観光来訪者数,20,長野県,3191425
2026,3,都道府県,観光来訪者数,21,岐阜県,2539706
2026,3,都道府県,観光来訪者数,22,静岡県,8539707
2026,3,都道府県,観光来訪者数,23,愛知県,11699601
2026,3,都道府県,観光来訪者数,24,三重県,5317841
2026,3,都道府県,観光来訪者数,25,滋賀県,1924103
2026,3,都道府県,観光来訪者数,26,京都府,3321777
2026,3,都道府県,観光来訪者数,27,大阪府,6599336
2026,3,都道府県,観光来訪者数,28,兵庫県,5674244
2026,3,都道府県,観光来訪者数,29,奈良県,1433222
2026,3,都道府県,観光来訪者数,30,和歌山県,2108518
2026,3,都道府県,観光来訪者数,31,鳥取県,1052463
2026,3,都道府県,観光来訪者数,32,島根県,1093928
2026,3,都道府県,観光来訪者数,33,岡山県,2377836
2026,3,都道府県,観光来訪者数,34,広島県,3336499
2026,3,都道府県,観光来訪者数,35,山口県,1458493
2026,3,都道府県,観光来訪者数,36,徳島県,774953
2026,3,都道府県,観光来訪者数,37,香川県,1157633
2026,3,都道府県,観光来訪者数,38,愛媛県,2290719
2026,3,都道府県,観光来訪者数,39,高知県,1282319
2026,3,都道府県,観光来訪者数,40,福岡県,9691564
2026,3,都道府県,観光来訪者数,41,佐賀県,2789396
2026,3,都道府県,観光来訪者数,42,長崎県,1639084
2026,3,都道府県,観光来訪者数,43,熊本県,1683654
2026,3,都道府県,観光来訪者数,44,大分県,1343342
2026,3,都道府県,観光来訪者数,45,宮崎県,1103252
2026,3,都道府県,観光来訪者数,46,鹿児島県,1960370
2026,3,都道府県,観光来訪者数,47,沖縄県,3064000
