年,月,地域区分,データ区分,都道府県コード,都道府県名,地域コード,地域名称,人数
2023,11,市区町村,観光来訪者数,1,北海道,1101,札幌市中央区,389409
2023,11,市区町村,観光来訪者数,1,北海道,1102,札幌市北区,20520
2023,11,市区町村,観光来訪者数,1,北海道,1103,札幌市東区,43774
2023,11,市区町村,観光来訪者数,1,北海道,1104,札幌市白石区,1885
2023,11,市区町村,観光来訪者数,1,北海道,1105,札幌市豊平区,44944
2023,11,市区町村,観光来訪者数,1,北海道,1106,札幌市南区,67970
2023,11,市区町村,観光来訪者数,1,北海道,1107,札幌市西区,45486
2023,11,市区町村,観光来訪者数,1,北海道,1108,札幌市厚別区,11414
2023,11,市区町村,観光来訪者数,1,北海道,1109,札幌市手稲区,4835
2023,11,市区町村,観光来訪者数,1,北海道,1110,札幌市清田区,1673
2023,11,市区町村,観光来訪者数,1,北海道,1202,函館市,101923
2023,11,市区町村,観光来訪者数,1,北海道,1203,小樽市,76908
2023,11,市区町村,観光来訪者数,1,北海道,1204,旭川市,127507
2023,11,市区町村,観光来訪者数,1,北海道,1205,室蘭市,14493
2023,11,市区町村,観光来訪者数,1,北海道,1206,釧路市,55892
2023,11,市区町村,観光来訪者数,1,北海道,1207,帯広市,51296
2023,11,市区町村,観光来訪者数,1,北海道,1208,北見市,14339
2023,11,市区町村,観光来訪者数,1,北海道,1209,夕張市,6601
2023,11,市区町村,観光来訪者数,1,北海道,1210,岩見沢市,10244
2023,11,市区町村,観光来訪者数,1,北海道,1211,網走市,45000
2023,11,市区町村,観光来訪者数,1,北海道,1212,留萌市,14248
2023,11,市区町村,観光来訪者数,1,北海道,1213,苫小牧市,75359
2023,11,市区町村,観光来訪者数,1,北海道,1214,稚内市,15743
2023,11,市区町村,観光来訪者数,1,北海道,1215,美唄市,2456
2023,11,市区町村,観光来訪者数,1,北海道,1216,芦別市,16365
2023,11,市区町村,観光来訪者数,1,北海道,1217,江別市,10842
2023,11,市区町村,観光来訪者数,1,北海道,1218,赤平市,786
2023,11,市区町村,観光来訪者数,1,北海道,1219,紋別市,14323
2023,11,市区町村,観光来訪者数,1,北海道,1220,士別市,865
2023,11,市区町村,観光来訪者数,1,北海道,1221,名寄市,23487
2023,11,市区町村,観光来訪者数,1,北海道,1222,三笠市,46521
2023,11,市区町村,観光来訪者数,1,北海道,1223,根室市,7255
