年,月,地域区分,データ区分,地域コード,地域名称,人数
2024,7,都道府県,観光来訪者数,1,北海道,5760681
2024,7,都道府県,観光来訪者数,2,青森県,995816
2024,7,都道府県,観光来訪者数,3,岩手県,1416559
2024,7,都道府県,観光来訪者数,4,宮城県,1804566
2024,7,都道府県,観光来訪者数,5,秋田県,819491
2024,7,都道府県,観光来訪者数,6,山形県,1357803
2024,7,都道府県,観光来訪者数,7,福島県,2035741
2024,7,都道府県,観光来訪者数,8,茨城県,2183001
2024,7,都道府県,観光来訪者数,9,栃木県,2404552
2024,7,都道府県,観光来訪者数,10,群馬県,2231939
2024,7,都道府県,観光来訪者数,11,埼玉県,3018232
2024,7,都道府県,観光来訪者数,12,千葉県,3581106
2024,7,都道府県,観光来訪者数,13,東京都,19664432
2024,7,都道府県,観光来訪者数,14,神奈川県,5247541
2024,7,都道府県,観光来訪者数,15,新潟県,1895379
2024,7,都道府県,観光来訪者数,16,富山県,997728
2024,7,都道府県,観光来訪者数,17,石川県,950286
2024,7,都道府県,観光来訪者数,18,福井県,745492
2024,7,都道府県,観光来訪者数,19,山梨県,1424345
2024,7,都道府県,観光来訪者数,20,長野県,3293687
2024,7,都道府県,観光来訪者数,21,岐阜県,2161812
2024,7,都道府県,観光来訪者数,22,静岡県,7104701
2024,7,都道府県,観光来訪者数,23,愛知県,8136751
2024,7,都道府県,観光来訪者数,24,三重県,1961812
2024,7,都道府県,観光来訪者数,25,滋賀県,1049818
2024,7,都道府県,観光来訪者数,26,京都府,2203999
2024,7,都道府県,観光来訪者数,27,大阪府,4669388
2024,7,都道府県,観光来訪者数,28,兵庫県,4620123
2024,7,都道府県,観光来訪者数,29,奈良県,926028
2024,7,都道府県,観光来訪者数,30,和歌山県,1498737
2024,7,都道府県,観光来訪者数,31,鳥取県,692069
2024,7,都道府県,観光来訪者数,32,島根県,648059
2024,7,都道府県,観光来訪者数,33,岡山県,1558590
2024,7,都道府県,観光来訪者数,34,広島県,1725545
2024,7,都道府県,観光来訪者数,35,山口県,934772
2024,7,都道府県,観光来訪者数,36,徳島県,602350
2024,7,都道府県,観光来訪者数,37,香川県,774273
2024,7,都道府県,観光来訪者数,38,愛媛県,805745
2024,7,都道府県,観光来訪者数,39,高知県,654284
2024,7,都道府県,観光来訪者数,40,福岡県,3786233
2024,7,都道府県,観光来訪者数,41,佐賀県,2118124
2024,7,都道府県,観光来訪者数,42,長崎県,1210805
2024,7,都道府県,観光来訪者数,43,熊本県,1227892
2024,7,都道府県,観光来訪者数,44,大分県,1041643
2024,7,都道府県,観光来訪者数,45,宮崎県,787314
2024,7,都道府県,観光来訪者数,46,鹿児島県,1295213
2024,7,都道府県,観光来訪者数,47,沖縄県,1095435
