年,月,地域区分,データ区分,地域コード,地域名称,人数
2024,3,都道府県,観光来訪者数,1,北海道,2776831
2024,3,都道府県,観光来訪者数,2,青森県,621017
2024,3,都道府県,観光来訪者数,3,岩手県,1136631
2024,3,都道府県,観光来訪者数,4,宮城県,1545049
2024,3,都道府県,観光来訪者数,5,秋田県,575164
2024,3,都道府県,観光来訪者数,6,山形県,1040376
2024,3,都道府県,観光来訪者数,7,福島県,1642171
2024,3,都道府県,観光来訪者数,8,茨城県,2402188
2024,3,都道府県,観光来訪者数,9,栃木県,2456783
2024,3,都道府県,観光来訪者数,10,群馬県,2075013
2024,3,都道府県,観光来訪者数,11,埼玉県,3618388
2024,3,都道府県,観光来訪者数,12,千葉県,4173890
2024,3,都道府県,観光来訪者数,13,東京都,20840010
2024,3,都道府県,観光来訪者数,14,神奈川県,5612418
2024,3,都道府県,観光来訪者数,15,新潟県,1746824
2024,3,都道府県,観光来訪者数,16,富山県,995594
2024,3,都道府県,観光来訪者数,17,石川県,1025757
2024,3,都道府県,観光来訪者数,18,福井県,623294
2024,3,都道府県,観光来訪者数,19,山梨県,1033398
2024,3,都道府県,観光来訪者数,20,長野県,2637126
2024,3,都道府県,観光来訪者数,21,岐阜県,2152166
2024,3,都道府県,観光来訪者数,22,静岡県,7714554
2024,3,都道府県,観光来訪者数,23,愛知県,8065277
2024,3,都道府県,観光来訪者数,24,三重県,2319902
2024,3,都道府県,観光来訪者数,25,滋賀県,1090875
2024,3,都道府県,観光来訪者数,26,京都府,2742281
2024,3,都道府県,観光来訪者数,27,大阪府,5522832
2024,3,都道府県,観光来訪者数,28,兵庫県,4637415
2024,3,都道府県,観光来訪者数,29,奈良県,1128694
2024,3,都道府県,観光来訪者数,30,和歌山県,1382218
2024,3,都道府県,観光来訪者数,31,鳥取県,638386
2024,3,都道府県,観光来訪者数,32,島根県,672838
2024,3,都道府県,観光来訪者数,33,岡山県,1704601
2024,3,都道府県,観光来訪者数,34,広島県,1810789
2024,3,都道府県,観光来訪者数,35,山口県,1053915
2024,3,都道府県,観光来訪者数,36,徳島県,645966
2024,3,都道府県,観光来訪者数,37,香川県,869491
2024,3,都道府県,観光来訪者数,38,愛媛県,831976
2024,3,都道府県,観光来訪者数,39,高知県,708059
2024,3,都道府県,観光来訪者数,40,福岡県,4051981
2024,3,都道府県,観光来訪者数,41,佐賀県,2432734
2024,3,都道府県,観光来訪者数,42,長崎県,1402255
2024,3,都道府県,観光来訪者数,43,熊本県,1473150
2024,3,都道府県,観光来訪者数,44,大分県,1184946
2024,3,都道府県,観光来訪者数,45,宮崎県,873528
2024,3,都道府県,観光来訪者数,46,鹿児島県,1456713
2024,3,都道府県,観光来訪者数,47,沖縄県,1114527
