年,月,地域区分,データ区分,地域コード,地域名称,人数
2024,11,都道府県,観光来訪者数,1,北海道,3176886
2024,11,都道府県,観光来訪者数,2,青森県,893692
2024,11,都道府県,観光来訪者数,3,岩手県,1440205
2024,11,都道府県,観光来訪者数,4,宮城県,1919372
2024,11,都道府県,観光来訪者数,5,秋田県,854905
2024,11,都道府県,観光来訪者数,6,山形県,1426660
2024,11,都道府県,観光来訪者数,7,福島県,2187997
2024,11,都道府県,観光来訪者数,8,茨城県,2658758
2024,11,都道府県,観光来訪者数,9,栃木県,3116722
2024,11,都道府県,観光来訪者数,10,群馬県,2665734
2024,11,都道府県,観光来訪者数,11,埼玉県,3811955
2024,11,都道府県,観光来訪者数,12,千葉県,4671346
2024,11,都道府県,観光来訪者数,13,東京都,22044391
2024,11,都道府県,観光来訪者数,14,神奈川県,6147270
2024,11,都道府県,観光来訪者数,15,新潟県,1852391
2024,11,都道府県,観光来訪者数,16,富山県,1217921
2024,11,都道府県,観光来訪者数,17,石川県,1225886
2024,11,都道府県,観光来訪者数,18,福井県,878166
2024,11,都道府県,観光来訪者数,19,山梨県,1409108
2024,11,都道府県,観光来訪者数,20,長野県,3113381
2024,11,都道府県,観光来訪者数,21,岐阜県,2749340
2024,11,都道府県,観光来訪者数,22,静岡県,7901785
2024,11,都道府県,観光来訪者数,23,愛知県,8740292
2024,11,都道府県,観光来訪者数,24,三重県,2423230
2024,11,都道府県,観光来訪者数,25,滋賀県,1555928
2024,11,都道府県,観光来訪者数,26,京都府,3613951
2024,11,都道府県,観光来訪者数,27,大阪府,5739850
2024,11,都道府県,観光来訪者数,28,兵庫県,4907220
2024,11,都道府県,観光来訪者数,29,奈良県,1589797
2024,11,都道府県,観光来訪者数,30,和歌山県,1613783
2024,11,都道府県,観光来訪者数,31,鳥取県,867757
2024,11,都道府県,観光来訪者数,32,島根県,980260
2024,11,都道府県,観光来訪者数,33,岡山県,2076032
2024,11,都道府県,観光来訪者数,34,広島県,2176712
2024,11,都道府県,観光来訪者数,35,山口県,1148671
2024,11,都道府県,観光来訪者数,36,徳島県,748698
2024,11,都道府県,観光来訪者数,37,香川県,1008397
2024,11,都道府県,観光来訪者数,38,愛媛県,1044799
2024,11,都道府県,観光来訪者数,39,高知県,811962
2024,11,都道府県,観光来訪者数,40,福岡県,4264725
2024,11,都道府県,観光来訪者数,41,佐賀県,2733220
2024,11,都道府県,観光来訪者数,42,長崎県,1471157
2024,11,都道府県,観光来訪者数,43,熊本県,1588928
2024,11,都道府県,観光来訪者数,44,大分県,1274996
2024,11,都道府県,観光来訪者数,45,宮崎県,1009770
2024,11,都道府県,観光来訪者数,46,鹿児島県,1540584
2024,11,都道府県,観光来訪者数,47,沖縄県,1095549
