年,月,地域区分,データ区分,地域コード,地域名称,人数
2024,1,都道府県,観光来訪者数,1,北海道,2630220
2024,1,都道府県,観光来訪者数,2,青森県,644110
2024,1,都道府県,観光来訪者数,3,岩手県,726124
2024,1,都道府県,観光来訪者数,4,宮城県,1350495
2024,1,都道府県,観光来訪者数,5,秋田県,492520
2024,1,都道府県,観光来訪者数,6,山形県,638967
2024,1,都道府県,観光来訪者数,7,福島県,1307380
2024,1,都道府県,観光来訪者数,8,茨城県,1919222
2024,1,都道府県,観光来訪者数,9,栃木県,2316666
2024,1,都道府県,観光来訪者数,10,群馬県,1545595
2024,1,都道府県,観光来訪者数,11,埼玉県,2329789
2024,1,都道府県,観光来訪者数,12,千葉県,4311444
2024,1,都道府県,観光来訪者数,13,東京都,11954546
2024,1,都道府県,観光来訪者数,14,神奈川県,3857476
2024,1,都道府県,観光来訪者数,15,新潟県,1542203
2024,1,都道府県,観光来訪者数,16,富山県,391846
2024,1,都道府県,観光来訪者数,17,石川県,647522
2024,1,都道府県,観光来訪者数,18,福井県,427090
2024,1,都道府県,観光来訪者数,19,山梨県,930154
2024,1,都道府県,観光来訪者数,20,長野県,2796162
2024,1,都道府県,観光来訪者数,21,岐阜県,1613183
2024,1,都道府県,観光来訪者数,22,静岡県,4166952
2024,1,都道府県,観光来訪者数,23,愛知県,3497850
2024,1,都道府県,観光来訪者数,24,三重県,1715217
2024,1,都道府県,観光来訪者数,25,滋賀県,956152
2024,1,都道府県,観光来訪者数,26,京都府,2594661
2024,1,都道府県,観光来訪者数,27,大阪府,4363139
2024,1,都道府県,観光来訪者数,28,兵庫県,3996274
2024,1,都道府県,観光来訪者数,29,奈良県,1154735
2024,1,都道府県,観光来訪者数,30,和歌山県,674762
2024,1,都道府県,観光来訪者数,31,鳥取県,312186
2024,1,都道府県,観光来訪者数,32,島根県,631823
2024,1,都道府県,観光来訪者数,33,岡山県,1279996
2024,1,都道府県,観光来訪者数,34,広島県,1556162
2024,1,都道府県,観光来訪者数,35,山口県,909252
2024,1,都道府県,観光来訪者数,36,徳島県,526097
2024,1,都道府県,観光来訪者数,37,香川県,620003
2024,1,都道府県,観光来訪者数,38,愛媛県,835293
2024,1,都道府県,観光来訪者数,39,高知県,447033
2024,1,都道府県,観光来訪者数,40,福岡県,2766307
2024,1,都道府県,観光来訪者数,41,佐賀県,757233
2024,1,都道府県,観光来訪者数,42,長崎県,642928
2024,1,都道府県,観光来訪者数,43,熊本県,1298093
2024,1,都道府県,観光来訪者数,44,大分県,1128984
2024,1,都道府県,観光来訪者数,45,宮崎県,880655
2024,1,都道府県,観光来訪者数,46,鹿児島県,988365
2024,1,都道府県,観光来訪者数,47,沖縄県,1144902
