年,月,地域区分,データ区分,地域コード,地域名称,人数
2024,5,都道府県,観光来訪者数,1,北海道,4844736
2024,5,都道府県,観光来訪者数,2,青森県,1159210
2024,5,都道府県,観光来訪者数,3,岩手県,1723552
2024,5,都道府県,観光来訪者数,4,宮城県,2192800
2024,5,都道府県,観光来訪者数,5,秋田県,1083307
2024,5,都道府県,観光来訪者数,6,山形県,1656322
2024,5,都道府県,観光来訪者数,7,福島県,2274976
2024,5,都道府県,観光来訪者数,8,茨城県,2863125
2024,5,都道府県,観光来訪者数,9,栃木県,3105163
2024,5,都道府県,観光来訪者数,10,群馬県,2656604
2024,5,都道府県,観光来訪者数,11,埼玉県,3968955
2024,5,都道府県,観光来訪者数,12,千葉県,4719793
2024,5,都道府県,観光来訪者数,13,東京都,21315783
2024,5,都道府県,観光来訪者数,14,神奈川県,6441224
2024,5,都道府県,観光来訪者数,15,新潟県,2256425
2024,5,都道府県,観光来訪者数,16,富山県,1353869
2024,5,都道府県,観光来訪者数,17,石川県,1172106
2024,5,都道府県,観光来訪者数,18,福井県,865870
2024,5,都道府県,観光来訪者数,19,山梨県,1578392
2024,5,都道府県,観光来訪者数,20,長野県,3410744
2024,5,都道府県,観光来訪者数,21,岐阜県,2742711
2024,5,都道府県,観光来訪者数,22,静岡県,8276545
2024,5,都道府県,観光来訪者数,23,愛知県,8371937
2024,5,都道府県,観光来訪者数,24,三重県,2309326
2024,5,都道府県,観光来訪者数,25,滋賀県,1509027
2024,5,都道府県,観光来訪者数,26,京都府,2797057
2024,5,都道府県,観光来訪者数,27,大阪府,5645054
2024,5,都道府県,観光来訪者数,28,兵庫県,4958433
2024,5,都道府県,観光来訪者数,29,奈良県,1525152
2024,5,都道府県,観光来訪者数,30,和歌山県,1505851
2024,5,都道府県,観光来訪者数,31,鳥取県,937738
2024,5,都道府県,観光来訪者数,32,島根県,962036
2024,5,都道府県,観光来訪者数,33,岡山県,1927550
2024,5,都道府県,観光来訪者数,34,広島県,2510722
2024,5,都道府県,観光来訪者数,35,山口県,1324219
2024,5,都道府県,観光来訪者数,36,徳島県,798421
2024,5,都道府県,観光来訪者数,37,香川県,1029434
2024,5,都道府県,観光来訪者数,38,愛媛県,1087720
2024,5,都道府県,観光来訪者数,39,高知県,845162
2024,5,都道府県,観光来訪者数,40,福岡県,4176466
2024,5,都道府県,観光来訪者数,41,佐賀県,2609879
2024,5,都道府県,観光来訪者数,42,長崎県,1622958
2024,5,都道府県,観光来訪者数,43,熊本県,1733074
2024,5,都道府県,観光来訪者数,44,大分県,1434362
2024,5,都道府県,観光来訪者数,45,宮崎県,1032209
2024,5,都道府県,観光来訪者数,46,鹿児島県,1718127
2024,5,都道府県,観光来訪者数,47,沖縄県,990687
