年,月,地域区分,データ区分,地域コード,地域名称,人数
2023,11,都道府県,観光来訪者数,1,北海道,2858528
2023,11,都道府県,観光来訪者数,2,青森県,783517
2023,11,都道府県,観光来訪者数,3,岩手県,758024
2023,11,都道府県,観光来訪者数,4,宮城県,1760839
2023,11,都道府県,観光来訪者数,5,秋田県,640517
2023,11,都道府県,観光来訪者数,6,山形県,833058
2023,11,都道府県,観光来訪者数,7,福島県,1684075
2023,11,都道府県,観光来訪者数,8,茨城県,2187152
2023,11,都道府県,観光来訪者数,9,栃木県,3034362
2023,11,都道府県,観光来訪者数,10,群馬県,1795791
2023,11,都道府県,観光来訪者数,11,埼玉県,2729028
2023,11,都道府県,観光来訪者数,12,千葉県,4762637
2023,11,都道府県,観光来訪者数,13,東京都,12775127
2023,11,都道府県,観光来訪者数,14,神奈川県,4261693
2023,11,都道府県,観光来訪者数,15,新潟県,1632817
2023,11,都道府県,観光来訪者数,16,富山県,650741
2023,11,都道府県,観光来訪者数,17,石川県,1090111
2023,11,都道府県,観光来訪者数,18,福井県,787756
2023,11,都道府県,観光来訪者数,19,山梨県,1403969
2023,11,都道府県,観光来訪者数,20,長野県,2474715
2023,11,都道府県,観光来訪者数,21,岐阜県,2079207
2023,11,都道府県,観光来訪者数,22,静岡県,4420471
2023,11,都道府県,観光来訪者数,23,愛知県,4104875
2023,11,都道府県,観光来訪者数,24,三重県,1746837
2023,11,都道府県,観光来訪者数,25,滋賀県,1549650
2023,11,都道府県,観光来訪者数,26,京都府,3639320
2023,11,都道府県,観光来訪者数,27,大阪府,4882036
2023,11,都道府県,観光来訪者数,28,兵庫県,4596720
2023,11,都道府県,観光来訪者数,29,奈良県,1575140
2023,11,都道府県,観光来訪者数,30,和歌山県,913206
2023,11,都道府県,観光来訪者数,31,鳥取県,524868
2023,11,都道府県,観光来訪者数,32,島根県,907678
2023,11,都道府県,観光来訪者数,33,岡山県,1638527
2023,11,都道府県,観光来訪者数,34,広島県,2121919
2023,11,都道府県,観光来訪者数,35,山口県,1023829
2023,11,都道府県,観光来訪者数,36,徳島県,693082
2023,11,都道府県,観光来訪者数,37,香川県,713960
2023,11,都道府県,観光来訪者数,38,愛媛県,966948
2023,11,都道府県,観光来訪者数,39,高知県,638268
2023,11,都道府県,観光来訪者数,40,福岡県,2883784
2023,11,都道府県,観光来訪者数,41,佐賀県,1022858
2023,11,都道府県,観光来訪者数,42,長崎県,855057
2023,11,都道府県,観光来訪者数,43,熊本県,1588821
2023,11,都道府県,観光来訪者数,44,大分県,1310793
2023,11,都道府県,観光来訪者数,45,宮崎県,986278
2023,11,都道府県,観光来訪者数,46,鹿児島県,1079644
2023,11,都道府県,観光来訪者数,47,沖縄県,1088761
