年,月,地域区分,データ区分,地域コード,地域名称,人数
2023,4,都道府県,観光来訪者数,1,北海道,3337893
2023,4,都道府県,観光来訪者数,2,青森県,1113706
2023,4,都道府県,観光来訪者数,3,岩手県,908678
2023,4,都道府県,観光来訪者数,4,宮城県,1873091
2023,4,都道府県,観光来訪者数,5,秋田県,777786
2023,4,都道府県,観光来訪者数,6,山形県,851684
2023,4,都道府県,観光来訪者数,7,福島県,1689539
2023,4,都道府県,観光来訪者数,8,茨城県,2300500
2023,4,都道府県,観光来訪者数,9,栃木県,2923896
2023,4,都道府県,観光来訪者数,10,群馬県,1578354
2023,4,都道府県,観光来訪者数,11,埼玉県,2743203
2023,4,都道府県,観光来訪者数,12,千葉県,4180135
2023,4,都道府県,観光来訪者数,13,東京都,11968752
2023,4,都道府県,観光来訪者数,14,神奈川県,4154911
2023,4,都道府県,観光来訪者数,15,新潟県,1826828
2023,4,都道府県,観光来訪者数,16,富山県,747812
2023,4,都道府県,観光来訪者数,17,石川県,859661
2023,4,都道府県,観光来訪者数,18,福井県,526252
2023,4,都道府県,観光来訪者数,19,山梨県,1359012
2023,4,都道府県,観光来訪者数,20,長野県,2393275
2023,4,都道府県,観光来訪者数,21,岐阜県,1837953
2023,4,都道府県,観光来訪者数,22,静岡県,3915654
2023,4,都道府県,観光来訪者数,23,愛知県,3937856
2023,4,都道府県,観光来訪者数,24,三重県,1593109
2023,4,都道府県,観光来訪者数,25,滋賀県,1296975
2023,4,都道府県,観光来訪者数,26,京都府,2935659
2023,4,都道府県,観光来訪者数,27,大阪府,4693975
2023,4,都道府県,観光来訪者数,28,兵庫県,4485903
2023,4,都道府県,観光来訪者数,29,奈良県,1367376
2023,4,都道府県,観光来訪者数,30,和歌山県,730421
2023,4,都道府県,観光来訪者数,31,鳥取県,467921
2023,4,都道府県,観光来訪者数,32,島根県,741703
2023,4,都道府県,観光来訪者数,33,岡山県,1502687
2023,4,都道府県,観光来訪者数,34,広島県,2223389
2023,4,都道府県,観光来訪者数,35,山口県,968299
2023,4,都道府県,観光来訪者数,36,徳島県,580103
2023,4,都道府県,観光来訪者数,37,香川県,601610
2023,4,都道府県,観光来訪者数,38,愛媛県,879279
2023,4,都道府県,観光来訪者数,39,高知県,525213
2023,4,都道府県,観光来訪者数,40,福岡県,2761506
2023,4,都道府県,観光来訪者数,41,佐賀県,747871
2023,4,都道府県,観光来訪者数,42,長崎県,788947
2023,4,都道府県,観光来訪者数,43,熊本県,1523268
2023,4,都道府県,観光来訪者数,44,大分県,1220100
2023,4,都道府県,観光来訪者数,45,宮崎県,792902
2023,4,都道府県,観光来訪者数,46,鹿児島県,958351
2023,4,都道府県,観光来訪者数,47,沖縄県,1090199
