年,月,地域区分,データ区分,地域コード,地域名称,人数
2024,9,都道府県,観光来訪者数,1,北海道,5718675
2024,9,都道府県,観光来訪者数,2,青森県,1076688
2024,9,都道府県,観光来訪者数,3,岩手県,1526105
2024,9,都道府県,観光来訪者数,4,宮城県,1866224
2024,9,都道府県,観光来訪者数,5,秋田県,963550
2024,9,都道府県,観光来訪者数,6,山形県,1377928
2024,9,都道府県,観光来訪者数,7,福島県,2058754
2024,9,都道府県,観光来訪者数,8,茨城県,2447220
2024,9,都道府県,観光来訪者数,9,栃木県,2539829
2024,9,都道府県,観光来訪者数,10,群馬県,2404544
2024,9,都道府県,観光来訪者数,11,埼玉県,3548699
2024,9,都道府県,観光来訪者数,12,千葉県,4110389
2024,9,都道府県,観光来訪者数,13,東京都,19084190
2024,9,都道府県,観光来訪者数,14,神奈川県,5118646
2024,9,都道府県,観光来訪者数,15,新潟県,1889830
2024,9,都道府県,観光来訪者数,16,富山県,1126697
2024,9,都道府県,観光来訪者数,17,石川県,1093429
2024,9,都道府県,観光来訪者数,18,福井県,765216
2024,9,都道府県,観光来訪者数,19,山梨県,1552486
2024,9,都道府県,観光来訪者数,20,長野県,3514563
2024,9,都道府県,観光来訪者数,21,岐阜県,2404103
2024,9,都道府県,観光来訪者数,22,静岡県,6885045
2024,9,都道府県,観光来訪者数,23,愛知県,7749839
2024,9,都道府県,観光来訪者数,24,三重県,1940095
2024,9,都道府県,観光来訪者数,25,滋賀県,1221934
2024,9,都道府県,観光来訪者数,26,京都府,2327321
2024,9,都道府県,観光来訪者数,27,大阪府,5226898
2024,9,都道府県,観光来訪者数,28,兵庫県,4653736
2024,9,都道府県,観光来訪者数,29,奈良県,1020324
2024,9,都道府県,観光来訪者数,30,和歌山県,1342672
2024,9,都道府県,観光来訪者数,31,鳥取県,792293
2024,9,都道府県,観光来訪者数,32,島根県,763435
2024,9,都道府県,観光来訪者数,33,岡山県,1734862
2024,9,都道府県,観光来訪者数,34,広島県,2239834
2024,9,都道府県,観光来訪者数,35,山口県,1094469
2024,9,都道府県,観光来訪者数,36,徳島県,635405
2024,9,都道府県,観光来訪者数,37,香川県,824432
2024,9,都道府県,観光来訪者数,38,愛媛県,831488
2024,9,都道府県,観光来訪者数,39,高知県,675909
2024,9,都道府県,観光来訪者数,40,福岡県,3988844
2024,9,都道府県,観光来訪者数,41,佐賀県,2280945
2024,9,都道府県,観光来訪者数,42,長崎県,1258743
2024,9,都道府県,観光来訪者数,43,熊本県,1385977
2024,9,都道府県,観光来訪者数,44,大分県,1127520
2024,9,都道府県,観光来訪者数,45,宮崎県,908629
2024,9,都道府県,観光来訪者数,46,鹿児島県,1327438
2024,9,都道府県,観光来訪者数,47,沖縄県,867333
