年,月,地域区分,データ区分,地域コード,地域名称,人数
2024,6,都道府県,観光来訪者数,1,北海道,5116490
2024,6,都道府県,観光来訪者数,2,青森県,990158
2024,6,都道府県,観光来訪者数,3,岩手県,1388937
2024,6,都道府県,観光来訪者数,4,宮城県,1863112
2024,6,都道府県,観光来訪者数,5,秋田県,892369
2024,6,都道府県,観光来訪者数,6,山形県,1609213
2024,6,都道府県,観光来訪者数,7,福島県,1871837
2024,6,都道府県,観光来訪者数,8,茨城県,2232162
2024,6,都道府県,観光来訪者数,9,栃木県,2322316
2024,6,都道府県,観光来訪者数,10,群馬県,2101689
2024,6,都道府県,観光来訪者数,11,埼玉県,3452598
2024,6,都道府県,観光来訪者数,12,千葉県,3998715
2024,6,都道府県,観光来訪者数,13,東京都,19657559
2024,6,都道府県,観光来訪者数,14,神奈川県,5284447
2024,6,都道府県,観光来訪者数,15,新潟県,1769617
2024,6,都道府県,観光来訪者数,16,富山県,933321
2024,6,都道府県,観光来訪者数,17,石川県,944349
2024,6,都道府県,観光来訪者数,18,福井県,635608
2024,6,都道府県,観光来訪者数,19,山梨県,1219902
2024,6,都道府県,観光来訪者数,20,長野県,2583327
2024,6,都道府県,観光来訪者数,21,岐阜県,2065398
2024,6,都道府県,観光来訪者数,22,静岡県,6466085
2024,6,都道府県,観光来訪者数,23,愛知県,7441224
2024,6,都道府県,観光来訪者数,24,三重県,1816240
2024,6,都道府県,観光来訪者数,25,滋賀県,1060951
2024,6,都道府県,観光来訪者数,26,京都府,2363532
2024,6,都道府県,観光来訪者数,27,大阪府,4551762
2024,6,都道府県,観光来訪者数,28,兵庫県,4108032
2024,6,都道府県,観光来訪者数,29,奈良県,1151229
2024,6,都道府県,観光来訪者数,30,和歌山県,1245656
2024,6,都道府県,観光来訪者数,31,鳥取県,682947
2024,6,都道府県,観光来訪者数,32,島根県,621413
2024,6,都道府県,観光来訪者数,33,岡山県,1441335
2024,6,都道府県,観光来訪者数,34,広島県,1736291
2024,6,都道府県,観光来訪者数,35,山口県,915474
2024,6,都道府県,観光来訪者数,36,徳島県,571085
2024,6,都道府県,観光来訪者数,37,香川県,695675
2024,6,都道府県,観光来訪者数,38,愛媛県,730099
2024,6,都道府県,観光来訪者数,39,高知県,579671
2024,6,都道府県,観光来訪者数,40,福岡県,3530226
2024,6,都道府県,観光来訪者数,41,佐賀県,2053572
2024,6,都道府県,観光来訪者数,42,長崎県,1079862
2024,6,都道府県,観光来訪者数,43,熊本県,1086686
2024,6,都道府県,観光来訪者数,44,大分県,960465
2024,6,都道府県,観光来訪者数,45,宮崎県,717030
2024,6,都道府県,観光来訪者数,46,鹿児島県,1131123
2024,6,都道府県,観光来訪者数,47,沖縄県,847754
