年,月,地域区分,データ区分,地域コード,地域名称,人数
2026,2,都道府県,観光来訪者数,1,北海道,2950148
2026,2,都道府県,観光来訪者数,2,青森県,693536
2026,2,都道府県,観光来訪者数,3,岩手県,1195942
2026,2,都道府県,観光来訪者数,4,宮城県,1500260
2026,2,都道府県,観光来訪者数,5,秋田県,597797
2026,2,都道府県,観光来訪者数,6,山形県,1076339
2026,2,都道府県,観光来訪者数,7,福島県,1747045
2026,2,都道府県,観光来訪者数,8,茨城県,2237968
2026,2,都道府県,観光来訪者数,9,栃木県,2392126
2026,2,都道府県,観光来訪者数,10,群馬県,2019586
2026,2,都道府県,観光来訪者数,11,埼玉県,2903747
2026,2,都道府県,観光来訪者数,12,千葉県,3888132
2026,2,都道府県,観光来訪者数,13,東京都,20609004
2026,2,都道府県,観光来訪者数,14,神奈川県,5385353
2026,2,都道府県,観光来訪者数,15,新潟県,1828643
2026,2,都道府県,観光来訪者数,16,富山県,889216
2026,2,都道府県,観光来訪者数,17,石川県,887367
2026,2,都道府県,観光来訪者数,18,福井県,507510
2026,2,都道府県,観光来訪者数,19,山梨県,870319
2026,2,都道府県,観光来訪者数,20,長野県,2998915
2026,2,都道府県,観光来訪者数,21,岐阜県,2094878
2026,2,都道府県,観光来訪者数,22,静岡県,6752262
2026,2,都道府県,観光来訪者数,23,愛知県,8805956
2026,2,都道府県,観光来訪者数,24,三重県,3798869
2026,2,都道府県,観光来訪者数,25,滋賀県,1475371
2026,2,都道府県,観光来訪者数,26,京都府,2490768
2026,2,都道府県,観光来訪者数,27,大阪府,5130656
2026,2,都道府県,観光来訪者数,28,兵庫県,3938121
2026,2,都道府県,観光来訪者数,29,奈良県,997535
2026,2,都道府県,観光来訪者数,30,和歌山県,1717086
2026,2,都道府県,観光来訪者数,31,鳥取県,728529
2026,2,都道府県,観光来訪者数,32,島根県,568330
2026,2,都道府県,観光来訪者数,33,岡山県,1579620
2026,2,都道府県,観光来訪者数,34,広島県,2510029
2026,2,都道府県,観光来訪者数,35,山口県,1096927
2026,2,都道府県,観光来訪者数,36,徳島県,593699
2026,2,都道府県,観光来訪者数,37,香川県,837446
2026,2,都道府県,観光来訪者数,38,愛媛県,1056045
2026,2,都道府県,観光来訪者数,39,高知県,592108
2026,2,都道府県,観光来訪者数,40,福岡県,4964705
2026,2,都道府県,観光来訪者数,41,佐賀県,2396964
2026,2,都道府県,観光来訪者数,42,長崎県,1457829
2026,2,都道府県,観光来訪者数,43,熊本県,1311633
2026,2,都道府県,観光来訪者数,44,大分県,1024076
2026,2,都道府県,観光来訪者数,45,宮崎県,1225669
2026,2,都道府県,観光来訪者数,46,鹿児島県,1513945
2026,2,都道府県,観光来訪者数,47,沖縄県,3263023
