month,lgcode,n
202101,6207,58350
202101,6208,7740
202101,6209,11048
202101,6210,10446
202101,6211,22513
202101,6212,21002
202101,6213,2019
202101,6301,893
202101,6302,253
202101,6321,2231
202101,6322,2684
202101,6323,3425
202101,6324,3094
202101,6341,123
202101,6361,783
202101,6362,3698
202101,6363,93
202101,6364,1772
202101,6365,432
202101,6366,98
202101,6367,2800
202101,6381,7856
202101,6382,709
202101,6401,1287
202101,6402,1189
202101,6403,15373
202101,6426,7127
202101,6428,9199
202101,6461,14104
202101,7201,35836
202101,7202,15753
202101,7203,52856
202101,7204,110092
202101,7205,9083
202101,7207,9444
202101,7208,14453
202101,7209,20158
202101,7210,57895
202101,7211,1708
202101,7212,24528
202101,7213,33435
202101,7214,28992
202101,7301,741
202101,7303,24714
202101,7308,6241
202101,7322,7600
202101,7342,707
202101,7344,27021
202101,7362,5491
202101,7364,2681
202101,7367,379
202101,7368,59910
202101,7402,37270
202101,7405,6965
202101,7407,44080
202101,7408,67782
202101,7421,833
202101,7422,10404
202101,7423,3622
202101,7444,5265
202101,7445,4934
202101,7446,445
202101,7447,6684
202101,7461,4886
202101,7464,174
202101,7465,333
202101,7466,5587
202101,7481,9206
202101,7482,455
202101,7483,6381
202101,7484,35
202101,7501,1091
202101,7502,3582
202101,7503,16584
202101,7504,307
202101,7505,6403
202101,7521,3547
202101,7522,1175
202101,7541,3514
202101,7542,19459
202101,7543,1038
202101,7544,417
202101,7546,4509
202101,7547,19058
202101,7561,3052
202101,7564,18417
202101,8201,55188
202101,8202,34671
202101,8203,20523
202101,8204,44596
202101,8205,27294
202101,8207,3622
202101,8208,12237
202101,8210,41021
202101,8211,16376
202101,8212,28962
202101,8214,2533
202101,8215,30526
202101,8216,84720
202101,8217,13513
202101,8219,15904
202101,8220,85451
202101,8221,28465
202101,8222,86230
202101,8223,33304
202101,8224,1770
202101,8225,63008
202101,8226,7166
202101,8227,50873
202101,8228,17123
202101,8229,88441
202101,8230,28181
202101,8231,29847
202101,8232,20703
202101,8233,44882
202101,8234,14735
202101,8235,14504
202101,8236,11537
202101,8302,7458
202101,8309,83119
202101,8310,26715
202101,8341,13934
202101,8364,27634
202101,8442,9673
202101,8443,10940
202101,8447,3926
202101,8521,941
202101,8542,25002
202101,8546,10043
202101,8564,444
202101,9201,93580
202101,9202,75725
202101,9203,127677
202101,9204,318052
202101,9205,60161
202101,9206,112194
202101,9208,52911
202101,9209,19076
202101,9210,20756
202101,9211,17710
202101,9213,84872
202101,9214,38493
202101,9215,8749
202101,9216,12366
202101,9301,2292
202101,9342,27420
202101,9343,46146
202101,9344,11399
202101,9345,3947
202101,9361,46057
202101,9364,653
202101,9384,15171
202101,9386,10554
202101,9407,175835
202101,9411,17918
202101,10201,76723
202101,10202,83216
202101,10203,11808
202101,10204,12741
202101,10205,47521
202101,10206,17890
202101,10207,19241
202101,10208,51331
202101,10209,64656
202101,10210,56289
202101,10211,100628
202101,10212,3168
202101,10344,1852
202101,10345,10357
202101,10366,4988
202101,10367,2254
202101,10382,30784
202101,10383,736
202101,10384,30886
202101,10421,7670
202101,10424,21910
202101,10425,52468
202101,10426,51855
202101,10428,8669
202101,10429,9939
202101,10443,144035
202101,10444,41463
202101,10448,5814
202101,10449,81024
202101,10464,20115
202101,10521,4098
202101,10522,1184
202101,10523,1178
202101,10524,632
202101,10525,855
202101,11101,13244
