年,月,地域区分,データ区分,都道府県コード,都道府県名,地域コード,地域名称,人数
2024,5,市区町村,観光来訪者数,1,北海道,1101,札幌市中央区,508991
2024,5,市区町村,観光来訪者数,1,北海道,1102,札幌市北区,37359
2024,5,市区町村,観光来訪者数,1,北海道,1103,札幌市東区,69758
2024,5,市区町村,観光来訪者数,1,北海道,1104,札幌市白石区,5712
2024,5,市区町村,観光来訪者数,1,北海道,1105,札幌市豊平区,65481
2024,5,市区町村,観光来訪者数,1,北海道,1106,札幌市南区,93878
2024,5,市区町村,観光来訪者数,1,北海道,1107,札幌市西区,53642
2024,5,市区町村,観光来訪者数,1,北海道,1108,札幌市厚別区,22193
2024,5,市区町村,観光来訪者数,1,北海道,1109,札幌市手稲区,11314
2024,5,市区町村,観光来訪者数,1,北海道,1110,札幌市清田区,8579
2024,5,市区町村,観光来訪者数,1,北海道,1202,函館市,212654
2024,5,市区町村,観光来訪者数,1,北海道,1203,小樽市,112320
2024,5,市区町村,観光来訪者数,1,北海道,1204,旭川市,214700
2024,5,市区町村,観光来訪者数,1,北海道,1205,室蘭市,37908
2024,5,市区町村,観光来訪者数,1,北海道,1206,釧路市,83050
2024,5,市区町村,観光来訪者数,1,北海道,1207,帯広市,77034
2024,5,市区町村,観光来訪者数,1,北海道,1208,北見市,30264
2024,5,市区町村,観光来訪者数,1,北海道,1209,夕張市,23101
2024,5,市区町村,観光来訪者数,1,北海道,1210,岩見沢市,45513
2024,5,市区町村,観光来訪者数,1,北海道,1211,網走市,76858
2024,5,市区町村,観光来訪者数,1,北海道,1212,留萌市,35364
2024,5,市区町村,観光来訪者数,1,北海道,1213,苫小牧市,118562
2024,5,市区町村,観光来訪者数,1,北海道,1214,稚内市,32894
2024,5,市区町村,観光来訪者数,1,北海道,1215,美唄市,11449
2024,5,市区町村,観光来訪者数,1,北海道,1216,芦別市,37255
2024,5,市区町村,観光来訪者数,1,北海道,1217,江別市,23157
2024,5,市区町村,観光来訪者数,1,北海道,1218,赤平市,897
2024,5,市区町村,観光来訪者数,1,北海道,1219,紋別市,33670
2024,5,市区町村,観光来訪者数,1,北海道,1220,士別市,4190
2024,5,市区町村,観光来訪者数,1,北海道,1221,名寄市,43517
2024,5,市区町村,観光来訪者数,1,北海道,1222,三笠市,69285
2024,5,市区町村,観光来訪者数,1,北海道,1223,根室市,15817
2024,5,市区町村,観光来訪者数,1,北海道,1224,千歳市,109997
2024,5,市区町村,観光来訪者数,1,北海道,1225,滝川市,29158
2024,5,市区町村,観光来訪者数,1,北海道,1226,砂川市,2472
2024,5,市区町村,観光来訪者数,1,北海道,1227,歌志内市,8088
2024,5,市区町村,観光来訪者数,1,北海道,1228,深川市,61643
2024,5,市区町村,観光来訪者数,1,北海道,1229,富良野市,29648
2024,5,市区町村,観光来訪者数,1,北海道,1230,登別市,26727
2024,5,市区町村,観光来訪者数,1,北海道,1231,恵庭市,38962
2024,5,市区町村,観光来訪者数,1,北海道,1233,伊達市,53978
2024,5,市区町村,観光来訪者数,1,北海道,1234,北広島市,388978
2024,5,市区町村,観光来訪者数,1,北海道,1235,石狩市,94174
2024,5,市区町村,観光来訪者数,1,北海道,1236,北斗市,6028
2024,5,市区町村,観光来訪者数,1,北海道,1303,当別町,49616
2024,5,市区町村,観光来訪者数,1,北海道,1304,新篠津村,35900
2024,5,市区町村,観光来訪者数,1,北海道,1331,松前町,25566
2024,5,市区町村,観光来訪者数,1,北海道,1332,福島町,4902
2024,5,市区町村,観光来訪者数,1,北海道,1333,知内町,7395
