年,月,地域区分,データ区分,地域コード,地域名称,人数
2025,11,都道府県,観光来訪者数,1,北海道,3553942
2025,11,都道府県,観光来訪者数,2,青森県,1077969
2025,11,都道府県,観光来訪者数,3,岩手県,1584243
2025,11,都道府県,観光来訪者数,4,宮城県,2126368
2025,11,都道府県,観光来訪者数,5,秋田県,832338
2025,11,都道府県,観光来訪者数,6,山形県,1537851
2025,11,都道府県,観光来訪者数,7,福島県,2368963
2025,11,都道府県,観光来訪者数,8,茨城県,3092194
2025,11,都道府県,観光来訪者数,9,栃木県,3765859
2025,11,都道府県,観光来訪者数,10,群馬県,2803775
2025,11,都道府県,観光来訪者数,11,埼玉県,4183927
2025,11,都道府県,観光来訪者数,12,千葉県,5538166
2025,11,都道府県,観光来訪者数,13,東京都,26051269
2025,11,都道府県,観光来訪者数,14,神奈川県,6898720
2025,11,都道府県,観光来訪者数,15,新潟県,2062621
2025,11,都道府県,観光来訪者数,16,富山県,1320404
2025,11,都道府県,観光来訪者数,17,石川県,1481608
2025,11,都道府県,観光来訪者数,18,福井県,945872
2025,11,都道府県,観光来訪者数,19,山梨県,1687296
2025,11,都道府県,観光来訪者数,20,長野県,3430997
2025,11,都道府県,観光来訪者数,21,岐阜県,2930867
2025,11,都道府県,観光来訪者数,22,静岡県,8946317
2025,11,都道府県,観光来訪者数,23,愛知県,10857921
2025,11,都道府県,観光来訪者数,24,三重県,5234783
2025,11,都道府県,観光来訪者数,25,滋賀県,2481444
2025,11,都道府県,観光来訪者数,26,京都府,3889512
2025,11,都道府県,観光来訪者数,27,大阪府,6697144
2025,11,都道府県,観光来訪者数,28,兵庫県,5607742
2025,11,都道府県,観光来訪者数,29,奈良県,1925508
2025,11,都道府県,観光来訪者数,30,和歌山県,2325621
2025,11,都道府県,観光来訪者数,31,鳥取県,1299944
2025,11,都道府県,観光来訪者数,32,島根県,1164859
2025,11,都道府県,観光来訪者数,33,岡山県,2404694
2025,11,都道府県,観光来訪者数,34,広島県,3638284
2025,11,都道府県,観光来訪者数,35,山口県,1603740
2025,11,都道府県,観光来訪者数,36,徳島県,935399
2025,11,都道府県,観光来訪者数,37,香川県,1277174
2025,11,都道府県,観光来訪者数,38,愛媛県,1527815
2025,11,都道府県,観光来訪者数,39,高知県,958694
2025,11,都道府県,観光来訪者数,40,福岡県,6566634
2025,11,都道府県,観光来訪者数,41,佐賀県,3254749
2025,11,都道府県,観光来訪者数,42,長崎県,1829287
2025,11,都道府県,観光来訪者数,43,熊本県,1847525
2025,11,都道府県,観光来訪者数,44,大分県,1492804
2025,11,都道府県,観光来訪者数,45,宮崎県,1182257
2025,11,都道府県,観光来訪者数,46,鹿児島県,1950888
2025,11,都道府県,観光来訪者数,47,沖縄県,2962716
