年,月,地域区分,データ区分,都道府県コード,都道府県名,地域コード,地域名称,人数
2025,4,市区町村,観光来訪者数,1,北海道,1101,札幌市中央区,423527
2025,4,市区町村,観光来訪者数,1,北海道,1102,札幌市北区,30866
2025,4,市区町村,観光来訪者数,1,北海道,1103,札幌市東区,55272
2025,4,市区町村,観光来訪者数,1,北海道,1104,札幌市白石区,20812
2025,4,市区町村,観光来訪者数,1,北海道,1105,札幌市豊平区,67495
2025,4,市区町村,観光来訪者数,1,北海道,1106,札幌市南区,79520
2025,4,市区町村,観光来訪者数,1,北海道,1107,札幌市西区,42110
2025,4,市区町村,観光来訪者数,1,北海道,1108,札幌市厚別区,20363
2025,4,市区町村,観光来訪者数,1,北海道,1109,札幌市手稲区,11727
2025,4,市区町村,観光来訪者数,1,北海道,1110,札幌市清田区,2899
2025,4,市区町村,観光来訪者数,1,北海道,1202,函館市,205932
2025,4,市区町村,観光来訪者数,1,北海道,1203,小樽市,77018
2025,4,市区町村,観光来訪者数,1,北海道,1204,旭川市,158973
2025,4,市区町村,観光来訪者数,1,北海道,1205,室蘭市,25179
2025,4,市区町村,観光来訪者数,1,北海道,1206,釧路市,58254
2025,4,市区町村,観光来訪者数,1,北海道,1207,帯広市,44214
2025,4,市区町村,観光来訪者数,1,北海道,1208,北見市,38644
2025,4,市区町村,観光来訪者数,1,北海道,1209,夕張市,7177
2025,4,市区町村,観光来訪者数,1,北海道,1210,岩見沢市,12014
2025,4,市区町村,観光来訪者数,1,北海道,1211,網走市,45100
2025,4,市区町村,観光来訪者数,1,北海道,1212,留萌市,19775
2025,4,市区町村,観光来訪者数,1,北海道,1213,苫小牧市,75956
2025,4,市区町村,観光来訪者数,1,北海道,1214,稚内市,17715
2025,4,市区町村,観光来訪者数,1,北海道,1215,美唄市,4279
2025,4,市区町村,観光来訪者数,1,北海道,1216,芦別市,20769
2025,4,市区町村,観光来訪者数,1,北海道,1217,江別市,17132
2025,4,市区町村,観光来訪者数,1,北海道,1218,赤平市,648
2025,4,市区町村,観光来訪者数,1,北海道,1219,紋別市,23513
2025,4,市区町村,観光来訪者数,1,北海道,1220,士別市,1659
2025,4,市区町村,観光来訪者数,1,北海道,1221,名寄市,25182
2025,4,市区町村,観光来訪者数,1,北海道,1222,三笠市,49927
2025,4,市区町村,観光来訪者数,1,北海道,1223,根室市,12721
2025,4,市区町村,観光来訪者数,1,北海道,1224,千歳市,86065
2025,4,市区町村,観光来訪者数,1,北海道,1225,滝川市,10438
2025,4,市区町村,観光来訪者数,1,北海道,1226,砂川市,2126
2025,4,市区町村,観光来訪者数,1,北海道,1227,歌志内市,11263
2025,4,市区町村,観光来訪者数,1,北海道,1228,深川市,50646
2025,4,市区町村,観光来訪者数,1,北海道,1229,富良野市,13926
2025,4,市区町村,観光来訪者数,1,北海道,1230,登別市,10508
2025,4,市区町村,観光来訪者数,1,北海道,1231,恵庭市,20398
2025,4,市区町村,観光来訪者数,1,北海道,1233,伊達市,42504
2025,4,市区町村,観光来訪者数,1,北海道,1234,北広島市,550596
2025,4,市区町村,観光来訪者数,1,北海道,1235,石狩市,50871
2025,4,市区町村,観光来訪者数,1,北海道,1236,北斗市,8191
2025,4,市区町村,観光来訪者数,1,北海道,1303,当別町,35146
2025,4,市区町村,観光来訪者数,1,北海道,1304,新篠津村,23494
2025,4,市区町村,観光来訪者数,1,北海道,1331,松前町,38420
2025,4,市区町村,観光来訪者数,1,北海道,1332,福島町,4791
2025,4,市区町村,観光来訪者数,1,北海道,1333,知内町,7676
2025,4,市区町村,観光来訪者数,1,北海道,1334,木古内町,20077
2025,4,市区町村,観光来訪者数,1,北海道,1337,七飯町,50811
2025,4,市区町村,観光来訪者数,1,北海道,1343,鹿部町,5788
2025,4,市区町村,観光来訪者数,1,北海道,1345,森町,28562
2025,4,市区町村,観光来訪者数,1,北海道,1346,八雲町,4645
2025,4,市区町村,観光来訪者数,1,北海道,1361,江差町,8140
2025,4,市区町村,観光来訪者数,1,北海道,1362,上ノ国町,11195
