年,月,地域区分,データ区分,地域コード,地域名称,人数
2023,8,都道府県,観光来訪者数,1,北海道,5972451
2023,8,都道府県,観光来訪者数,2,青森県,1395885
2023,8,都道府県,観光来訪者数,3,岩手県,1166280
2023,8,都道府県,観光来訪者数,4,宮城県,2081960
2023,8,都道府県,観光来訪者数,5,秋田県,1114259
2023,8,都道府県,観光来訪者数,6,山形県,1228996
2023,8,都道府県,観光来訪者数,7,福島県,2237120
2023,8,都道府県,観光来訪者数,8,茨城県,1949373
2023,8,都道府県,観光来訪者数,9,栃木県,3174372
2023,8,都道府県,観光来訪者数,10,群馬県,2036070
2023,8,都道府県,観光来訪者数,11,埼玉県,2588068
2023,8,都道府県,観光来訪者数,12,千葉県,4548542
2023,8,都道府県,観光来訪者数,13,東京都,11804517
2023,8,都道府県,観光来訪者数,14,神奈川県,4254567
2023,8,都道府県,観光来訪者数,15,新潟県,2523801
2023,8,都道府県,観光来訪者数,16,富山県,745541
2023,8,都道府県,観光来訪者数,17,石川県,1110638
2023,8,都道府県,観光来訪者数,18,福井県,956430
2023,8,都道府県,観光来訪者数,19,山梨県,1814089
2023,8,都道府県,観光来訪者数,20,長野県,3810907
2023,8,都道府県,観光来訪者数,21,岐阜県,2094172
2023,8,都道府県,観光来訪者数,22,静岡県,4769080
2023,8,都道府県,観光来訪者数,23,愛知県,3972481
2023,8,都道府県,観光来訪者数,24,三重県,1817772
2023,8,都道府県,観光来訪者数,25,滋賀県,1320805
2023,8,都道府県,観光来訪者数,26,京都府,2308801
2023,8,都道府県,観光来訪者数,27,大阪府,4650160
2023,8,都道府県,観光来訪者数,28,兵庫県,4845186
2023,8,都道府県,観光来訪者数,29,奈良県,1041221
2023,8,都道府県,観光来訪者数,30,和歌山県,885798
2023,8,都道府県,観光来訪者数,31,鳥取県,588064
2023,8,都道府県,観光来訪者数,32,島根県,865350
2023,8,都道府県,観光来訪者数,33,岡山県,1727685
2023,8,都道府県,観光来訪者数,34,広島県,2422167
2023,8,都道府県,観光来訪者数,35,山口県,1164260
2023,8,都道府県,観光来訪者数,36,徳島県,712146
2023,8,都道府県,観光来訪者数,37,香川県,711757
2023,8,都道府県,観光来訪者数,38,愛媛県,1052438
2023,8,都道府県,観光来訪者数,39,高知県,678291
2023,8,都道府県,観光来訪者数,40,福岡県,3139455
2023,8,都道府県,観光来訪者数,41,佐賀県,704797
2023,8,都道府県,観光来訪者数,42,長崎県,881362
2023,8,都道府県,観光来訪者数,43,熊本県,1583510
2023,8,都道府県,観光来訪者数,44,大分県,1267129
2023,8,都道府県,観光来訪者数,45,宮崎県,834836
2023,8,都道府県,観光来訪者数,46,鹿児島県,995704
2023,8,都道府県,観光来訪者数,47,沖縄県,925733
