年,月,地域区分,データ区分,地域コード,地域名称,人数
2025,8,都道府県,観光来訪者数,1,北海道,7266454
2025,8,都道府県,観光来訪者数,2,青森県,2063490
2025,8,都道府県,観光来訪者数,3,岩手県,2387483
2025,8,都道府県,観光来訪者数,4,宮城県,2485162
2025,8,都道府県,観光来訪者数,5,秋田県,1469186
2025,8,都道府県,観光来訪者数,6,山形県,2079799
2025,8,都道府県,観光来訪者数,7,福島県,3173008
2025,8,都道府県,観光来訪者数,8,茨城県,2882085
2025,8,都道府県,観光来訪者数,9,栃木県,4029146
2025,8,都道府県,観光来訪者数,10,群馬県,3279962
2025,8,都道府県,観光来訪者数,11,埼玉県,4408771
2025,8,都道府県,観光来訪者数,12,千葉県,4765952
2025,8,都道府県,観光来訪者数,13,東京都,22390558
2025,8,都道府県,観光来訪者数,14,神奈川県,6850882
2025,8,都道府県,観光来訪者数,15,新潟県,2959893
2025,8,都道府県,観光来訪者数,16,富山県,1564876
2025,8,都道府県,観光来訪者数,17,石川県,1408019
2025,8,都道府県,観光来訪者数,18,福井県,1229311
2025,8,都道府県,観光来訪者数,19,山梨県,2358911
2025,8,都道府県,観光来訪者数,20,長野県,5413521
2025,8,都道府県,観光来訪者数,21,岐阜県,3179072
2025,8,都道府県,観光来訪者数,22,静岡県,10051334
2025,8,都道府県,観光来訪者数,23,愛知県,10626695
2025,8,都道府県,観光来訪者数,24,三重県,5328595
2025,8,都道府県,観光来訪者数,25,滋賀県,2162372
2025,8,都道府県,観光来訪者数,26,京都府,2640452
2025,8,都道府県,観光来訪者数,27,大阪府,6848519
2025,8,都道府県,観光来訪者数,28,兵庫県,5972316
2025,8,都道府県,観光来訪者数,29,奈良県,1360837
2025,8,都道府県,観光来訪者数,30,和歌山県,2453313
2025,8,都道府県,観光来訪者数,31,鳥取県,1422486
2025,8,都道府県,観光来訪者数,32,島根県,1076665
2025,8,都道府県,観光来訪者数,33,岡山県,2509153
2025,8,都道府県,観光来訪者数,34,広島県,4042783
2025,8,都道府県,観光来訪者数,35,山口県,1680623
2025,8,都道府県,観光来訪者数,36,徳島県,1058210
2025,8,都道府県,観光来訪者数,37,香川県,1433605
2025,8,都道府県,観光来訪者数,38,愛媛県,1649958
2025,8,都道府県,観光来訪者数,39,高知県,1037682
2025,8,都道府県,観光来訪者数,40,福岡県,6155824
2025,8,都道府県,観光来訪者数,41,佐賀県,2853736
2025,8,都道府県,観光来訪者数,42,長崎県,2005726
2025,8,都道府県,観光来訪者数,43,熊本県,1651439
2025,8,都道府県,観光来訪者数,44,大分県,1493770
2025,8,都道府県,観光来訪者数,45,宮崎県,1168063
2025,8,都道府県,観光来訪者数,46,鹿児島県,1934778
2025,8,都道府県,観光来訪者数,47,沖縄県,2955296
