年,月,地域区分,データ区分,都道府県コード,都道府県名,地域コード,地域名称,人数
2024,1,市区町村,観光来訪者数,1,北海道,1101,札幌市中央区,338592
2024,1,市区町村,観光来訪者数,1,北海道,1102,札幌市北区,18444
2024,1,市区町村,観光来訪者数,1,北海道,1103,札幌市東区,31895
2024,1,市区町村,観光来訪者数,1,北海道,1104,札幌市白石区,4277
2024,1,市区町村,観光来訪者数,1,北海道,1105,札幌市豊平区,59937
2024,1,市区町村,観光来訪者数,1,北海道,1106,札幌市南区,88112
2024,1,市区町村,観光来訪者数,1,北海道,1107,札幌市西区,30704
2024,1,市区町村,観光来訪者数,1,北海道,1108,札幌市厚別区,12247
2024,1,市区町村,観光来訪者数,1,北海道,1109,札幌市手稲区,27111
2024,1,市区町村,観光来訪者数,1,北海道,1110,札幌市清田区,3453
2024,1,市区町村,観光来訪者数,1,北海道,1202,函館市,58775
2024,1,市区町村,観光来訪者数,1,北海道,1203,小樽市,54380
2024,1,市区町村,観光来訪者数,1,北海道,1204,旭川市,147961
2024,1,市区町村,観光来訪者数,1,北海道,1205,室蘭市,13611
2024,1,市区町村,観光来訪者数,1,北海道,1206,釧路市,52380
2024,1,市区町村,観光来訪者数,1,北海道,1207,帯広市,41773
2024,1,市区町村,観光来訪者数,1,北海道,1208,北見市,19715
2024,1,市区町村,観光来訪者数,1,北海道,1209,夕張市,18540
2024,1,市区町村,観光来訪者数,1,北海道,1210,岩見沢市,37067
2024,1,市区町村,観光来訪者数,1,北海道,1211,網走市,28785
2024,1,市区町村,観光来訪者数,1,北海道,1212,留萌市,6971
2024,1,市区町村,観光来訪者数,1,北海道,1213,苫小牧市,57195
2024,1,市区町村,観光来訪者数,1,北海道,1214,稚内市,13102
2024,1,市区町村,観光来訪者数,1,北海道,1215,美唄市,9850
2024,1,市区町村,観光来訪者数,1,北海道,1216,芦別市,12047
2024,1,市区町村,観光来訪者数,1,北海道,1217,江別市,11867
2024,1,市区町村,観光来訪者数,1,北海道,1218,赤平市,513
2024,1,市区町村,観光来訪者数,1,北海道,1219,紋別市,10320
2024,1,市区町村,観光来訪者数,1,北海道,1220,士別市,649
2024,1,市区町村,観光来訪者数,1,北海道,1221,名寄市,27118
2024,1,市区町村,観光来訪者数,1,北海道,1222,三笠市,29883
2024,1,市区町村,観光来訪者数,1,北海道,1223,根室市,3630
2024,1,市区町村,観光来訪者数,1,北海道,1224,千歳市,42404
2024,1,市区町村,観光来訪者数,1,北海道,1225,滝川市,7840
2024,1,市区町村,観光来訪者数,1,北海道,1226,砂川市,812
2024,1,市区町村,観光来訪者数,1,北海道,1227,歌志内市,6118
2024,1,市区町村,観光来訪者数,1,北海道,1228,深川市,24243
2024,1,市区町村,観光来訪者数,1,北海道,1229,富良野市,67167
2024,1,市区町村,観光来訪者数,1,北海道,1230,登別市,17109
2024,1,市区町村,観光来訪者数,1,北海道,1231,恵庭市,14712
2024,1,市区町村,観光来訪者数,1,北海道,1233,伊達市,18432
2024,1,市区町村,観光来訪者数,1,北海道,1234,北広島市,68990
2024,1,市区町村,観光来訪者数,1,北海道,1235,石狩市,11453
2024,1,市区町村,観光来訪者数,1,北海道,1236,北斗市,2810
2024,1,市区町村,観光来訪者数,1,北海道,1303,当別町,17529
2024,1,市区町村,観光来訪者数,1,北海道,1304,新篠津村,11162
2024,1,市区町村,観光来訪者数,1,北海道,1331,松前町,3008
2024,1,市区町村,観光来訪者数,1,北海道,1332,福島町,1488
2024,1,市区町村,観光来訪者数,1,北海道,1333,知内町,646
2024,1,市区町村,観光来訪者数,1,北海道,1334,木古内町,9441
2024,1,市区町村,観光来訪者数,1,北海道,1337,七飯町,19046
